,27,32,34,36
0,2e-06,1.2e-05,8.2e-05,6.8e-05
1,2,3,2,7
2,[#5](-[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#16]:1)(-[#8])-[#8],[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-[#6](-[#6])-[#7]1-[#6](=[#8])-[#6]2:[#6](-[#6]-1=[#8]):[#6]:[#6](:[#6]:[#6]:2)-[#6](=[#8])-[#8],[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#7]1-[#6]-[#6](-[#6]-[#6]-1=[#8])-[#6](=[#8])-[#8],"[#6]1:[#6]:[#16]:[#6](:[#6]:1-[#16](=[#8])(=[#8])-[#7]-[#6]-,:[#6]-,:[#6])-[#6](=[#8])-[#8]"
