,5,6
0,5e-06,0.000237
1,2,2
2,"[#6]1:[#6]:[#6]2:[#6]:[#6]:[#6](:[#6]:[#6]:2:[#6](:[#6]:1)-[#7]1-[#6]-[#6]-[#6](-[#6]-1=[#8])-[#7]-[#6])-[#8]-[#6](:,-[#6](:,-[#6]:,-[#6])-[#6]#[#7]):,-[#6]:,-[#6]-[#6]-[#7]1:[#6]:[#7]:[#6]:[#6]:1","[#6](:,-[#6]:,-[#6]-[#7]-[#6]-[#6]-[#7](-[#6]-,:[#6])-[#6]-[#6]1:[#6]:[#7]:[#6]:[#7]:1-[#6]):,-[#6]"
