,1S63_778,1MZC_BNE,3E37_ED5,1LD8_U49,1LD7_U66
1S63_778,0.0,0.7722772277227723,0.7450980392156863,0.7525773195876289,0.7572815533980582
1MZC_BNE,0.7722772277227723,0.0,0.7899159663865546,0.7657657657657657,0.8099173553719008
3E37_ED5,0.7450980392156863,0.7899159663865546,0.0,0.825,0.8253968253968254
1LD8_U49,0.7525773195876289,0.7657657657657657,0.825,0.0,0.43333333333333335
1LD7_U66,0.7572815533980582,0.8099173553719008,0.8253968253968254,0.43333333333333335,0.0
