,31,24,29,32,37,36,35
0,6.4e-05,1e-06,1e-05,0.000478,2.2e-05,0.000161,0.000414
1,2,2,2,5,3,2,3
2,[#6]1:[#7]:[#6]2:[#6](:[#7]:1):[#6](:[#6](:[#6](:[#6]:2-[#35])-[#35])-[#35])-[#35],[#6]-[#7]1-[#6]2:[#6]3:[#6](-[#6]-1=[#8]):[#6]:[#6](:[#7]:[#6]:3:[#6](:[#6](:[#6]:2-[#7])-[#17])-[#7])-[#6](=[#8])-[#7],[#6]-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6](-[#6](-[#7]-2)=[#8])-[#6]-[#6],"[#6]-[#6](=[#8])-[#7]-[#6]-[#6]-[#6](:[#6]:[#7,#6]):[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#8,#7,#16]-[#6,#7]","[#7]-,:[#6](:,-[#6]:,-[#6]:,-[#6]:[#6]:,-[#7](:[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8]-[#6]):[#6]:[#7]):,-[#6]:[#6]","[#6]1:[#6]:[#6,#7]:[#6]:[#6](:[#6]:1)-[#6]1:[#6]:[#6]:[#7]:[#6](:[#7]:1)-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#6,#7]-[#8,#6]-[#6]","[#6]:[#6]:,-[#6](=[#8]):,-[#7](:[#6](:[#6]):,-[#6]:[#6]:[#6]:[#6]-[#8]-[#6])-,:[#6]"
