,3O0G_3O0,1UNG_ALH,1UNH_IXM,4AU8_Z3R
3O0G_3O0,0.0,0.925,0.9189189189189189,0.8513513513513513
1UNG_ALH,0.925,0.0,0.9206349206349207,0.9104477611940298
1UNH_IXM,0.9189189189189189,0.9206349206349207,0.0,0.8833333333333333
4AU8_Z3R,0.8513513513513513,0.9104477611940298,0.8833333333333333,0.0
