,10,14,16
0,2e-06,2e-06,0.000605
1,2,2,4
2,[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#8])-[#16]-[#6]-[#6]-[#6]=[#6]-[#15](=[#8])(-[#8])-[#8],"[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#7,#8])-[#16]-[#6]-[#6]-[#6]-[#6]-[#15](=[#8])(-[#8])-[#8]","[#6](:[#6]:[#6]:[#6]:[#6]-[#6,#16]-[#6,#7]-[#6]-[#8,#6]-[#15,#8]-[#8,#15]):[#6]"
