,1S50_GLU,1TT1_KAI,1S9T_QUS
1S50_GLU,0.0,0.8571428571428572,0.6944444444444444
1TT1_KAI,0.8571428571428572,0.0,0.8867924528301887
1S9T_QUS,0.6944444444444444,0.8867924528301887,0.0
