,2
0,2.9e-05
1,2
2,"[#6]-[#6](-[#6])-[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1-[#8])-[#8]-[#6]1:[#6](:[#6]:[#6](:[#6]:[#6]:1-[#35,#6])-[#6,#7])-[#35,#6]"
