,31,19
0,0.000464,0.000212
1,6,2
2,"[#6]1:[#6]:[#6](:[#6]:[#6]2:[#6]:1-[#6]-[#6]-[#7]-[#6]-2)-[#17,#7,#16]","[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:1-[#9,#17]):[#7]:[#6](:[#7]:2)-[#7]"
