,52,59,67,63,46,65
0,5e-06,5e-06,2.9e-05,1e-05,0.0,0.000122
1,3,11,3,4,2,6
2,[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:1-[#9])-[#6]1(-[#6]-[#6]-[#8]-2)-[#6](=[#8])-[#7]-[#6](-[#7]-1)=[#8],"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-[#7]-[#6](=[#8,#16])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#8]-[#6]-[#6](=[#8])-[#8])-[#17,#9]","[#6](:[#6]):[#6](:[#8,#6]:[#6]-[#7](=[#8])-[#8])-[#6]1:[#7,#6]:[#7,#6,#8]:[#6](:[#8,#7,#16]:1)-[#16,#6]-[#6]-[#6]-[#8,#6]","[#6,#7](:[#6]:[#6]:[#6]):[#6](:[#6,#16])-[#6]-[#7]1:[#6](=[#8]):[#6]:[#6]:[#7](:[#6]:1=[#8])-[#6]-[#6](=[#8])-[#8]",[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6]:[#6](:[#6]1:[#6]:2-[#6](=[#8])-[#7](-[#16]-1(=[#8])=[#8])-[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#8],"[#6](:[#6]:[#6]):[#6]:[#6](:,-[#6]:,-[#7]-[#6]-[#6](=[#8])-[#8]):,-[#6]:,-[#6]:[#7]:[#6]"
