,36,23,39,37,29,33
0,0.000315,1e-06,0.000596,0.000153,8e-05,0.000202
1,7,2,7,2,2,2
2,"[#6]-[#16,#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6](-[#6]-[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#8]",[#6]-[#6](=[#6]-[#6]1:[#6]:[#8]:[#6]2:[#6]:1:[#6](:[#7]:[#6](:[#7]:2)-[#7])-[#7])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8]-[#6],"[#6]-[#6]-[#6]1:[#6](:[#6](:[#7]:[#6](:[#7]:1)-[#7])-[#7])-[#8,#6]","[#7,#6]-[#6,#7]-[#6]1:[#6]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:2:[#7]:[#6]:1)-[#7])-[#7]","[#6]1:[#6](:[#6]:[#7]:[#6]2:[#6]:1:[#6](:[#7]:[#6](:[#7]:2)-[#7])-[#7])-[#6,#7]-[#6]",[#6]-[#8]-[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1)-[#6]-[#6]1:[#6]:[#7]:[#6](:[#7]:[#6]:1-[#7])-[#7]
