,3
0,6.4e-05
1,2
2,"[#8,#6]-[#7](-[#6](-[#6]-[#6])-[#6](=[#8])-[#7,#8])-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1"
