,5UE4_5XQ,4WZV_E40,5I12_H27
5UE4_5XQ,0.0,0.8275862068965517,0.8773584905660378
4WZV_E40,0.8275862068965517,0.0,0.7425742574257426
5I12_H27,0.8773584905660378,0.7425742574257426,0.0
