,24,31,33,29
0,7e-06,0.000191,2e-06,3e-06
1,3,4,5,2
2,"[#6]-[#6](-[#6])-[#6](-[#6](=[#8])-[#7]-[#16](=[#8])(=[#8])-[#8]-[#6]-[#6]1-[#6](-[#6](-[#6](-[#8]-1)-[#7]1:[#6]:[#7]:[#6]2:[#6]:1:[#7]:[#6]:[#7]:[#6]:2-[#7])-[#8])-[#8])-[#7,#8]",[#6]1:[#7]:[#6](:[#6]2:[#6](:[#7]:1):[#7](:[#6]:[#7]:2)-[#6]1-[#6](-[#6](-[#6](-[#8]-1)-[#6]-[#16])-[#8])-[#8])-[#7],"[#6](:[#6]:[#6,#8]:[#6]-[#16,#6]-[#7,#8]-[#6]-[#6]1:[#6]:[#6]2:[#6](:[#7]:1-[#6]-[#6](=[#8])-[#8]):[#6]:[#6]:[#6](:[#6]:2)-[#8]-[#6]):[#6]:[#7,#6]",[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6]:[#6](:[#7]:2)-[#6](=[#8])-[#7]-[#16](=[#8])(=[#8])-[#6]
