,1R1H_BIR,6SUK_FT8,2YB9_HA0,1R1J_OIR,1Y8J_STS
1R1H_BIR,0.0,0.7974683544303798,0.7307692307692308,0.5454545454545454,0.8472222222222222
6SUK_FT8,0.7974683544303798,0.0,0.8089887640449438,0.6615384615384615,0.8311688311688312
2YB9_HA0,0.7307692307692308,0.8089887640449438,0.0,0.7361111111111112,0.8536585365853658
1R1J_OIR,0.5454545454545454,0.6615384615384615,0.7361111111111112,0.0,0.7903225806451613
1Y8J_STS,0.8472222222222222,0.8311688311688312,0.8536585365853658,0.7903225806451613,0.0
