,1HP0_AD3,3B9G_IMH,3EPX_IMQ,3EPW_JMQ
1HP0_AD3,0.0,0.8125,0.7619047619047619,0.8115942028985508
3B9G_IMH,0.8125,0.0,0.8125,0.7301587301587302
3EPX_IMQ,0.7619047619047619,0.8125,0.0,0.5357142857142857
3EPW_JMQ,0.8115942028985508,0.7301587301587302,0.5357142857142857,0.0
