,25,32
0,1.3e-05,0.000455
1,2,15
2,[#6]-[#6]-[#6](-[#6])-[#6](=[#8])-[#8]-[#6]1-[#6]-[#6]-[#6]=[#6]2-[#6]-1-[#6](-[#6](-[#6]=[#6]-2)-[#6])-[#6]-[#6]-[#6](-[#6]-[#6](-[#6]-[#6](=[#8])-[#8])-[#8])-[#8],"[#6]-[#6](-[#6])-[#7,#6](:[#6,#7]:[#6,#7]):[#6,#7](:[#6,#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#9])-[#6]"
