,19
0,4.8e-05
1,10
2,"[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1-[#9])-[#16,#6]-[#7,#6]-[#6](-[#6])-[#6](=[#8])-[#7]-[#8]"
