,6AQS_IM5,1NW4_IMH,1Q1G_MTI
6AQS_IM5,0.0,0.7761194029850746,0.7638888888888888
1NW4_IMH,0.7761194029850746,0.0,0.7142857142857143
1Q1G_MTI,0.7638888888888888,0.7142857142857143,0.0
