,4
0,4.9e-05
1,3
2,"[#6]1:[#6](:[#6]2:[#6](:[#7]:1):[#6]:[#7]:[#6]:[#7]:2)-[#6]-[#6,#7](-[#6]-[#6](-[#7,#6])-[#6]-[#8,#16])-[#8,#6]"
