,11,10
0,0.000274,5.6e-05
1,2,4
2,"[#6]-[#6]1(-[#6])-[#6](=[#6]-[#6](-[#6])=[#8])-[#6]-[#6]-[#6]2-[#6]-1-[#6](-[#6]-[#6]1(-[#6]-2-[#6]-[#6]-[#6]-1(-[#6](=[#8])-[#6]-[#8,#17])-[#8])-[#6])-[#8]","[#6]-[#16,#6](=[#8])-[#7]-[#6](-[#6])-[#6]-[#7,#8]-[#6]1:[#6]:[#6]:[#6]:[#6,#7]:[#7](:[#7,#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6,#7]:[#6]:[#6]:[#6]:1"
