,6EL6_B9Q,6EL9_B9W,5G3J_E7T,4P6X_HCY,4LSJ_LSJ,4P6W_MOF,4CSJ_NN7,5G5W_R8C
6EL6_B9Q,0.0,0.5795454545454546,0.8623853211009174,0.88,0.8640776699029127,0.8608695652173913,0.7204301075268817,0.4054054054054054
6EL9_B9W,0.5795454545454546,0.0,0.839622641509434,0.900990099009901,0.8952380952380953,0.8888888888888888,0.7708333333333334,0.3972602739726028
5G3J_E7T,0.8623853211009174,0.839622641509434,0.0,0.8541666666666666,0.85,0.8584070796460177,0.8061224489795918,0.8514851485148515
4P6X_HCY,0.88,0.900990099009901,0.8541666666666666,0.0,0.9157894736842105,0.7684210526315789,0.90625,0.9166666666666666
4LSJ_LSJ,0.8640776699029127,0.8952380952380953,0.85,0.9157894736842105,0.0,0.8807339449541285,0.8541666666666666,0.8762886597938144
4P6W_MOF,0.8608695652173913,0.8888888888888888,0.8584070796460177,0.7684210526315789,0.8807339449541285,0.0,0.9122807017543859,0.8918918918918919
4CSJ_NN7,0.7204301075268817,0.7708333333333334,0.8061224489795918,0.90625,0.8541666666666666,0.9122807017543859,0.0,0.6785714285714286
5G5W_R8C,0.4054054054054054,0.3972602739726028,0.8514851485148515,0.9166666666666666,0.8762886597938144,0.8918918918918919,0.6785714285714286,0.0
