,28,20,26
0,0.000217,2e-06,9.7e-05
1,2,2,10
2,"[#6](:[#6](:[#6]:[#6,#8]):[#6](=[#8]):[#6]:[#6]-[#6](:[#6]:[#6]):[#16,#6]:[#6]):[#8,#6]:[#6]:[#6]-[#6]-[#6]",[#6]-[#6]-[#6]-[#8]-[#6]-[#6]-[#7]:[#6](:[#6](:[#7]:[#6]1:[#6]:[#7]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6](:[#7]:[#6]:1)-[#8]-[#6])-[#7]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1)=[#8],"[#6,#7]1:[#6]:[#6](=[#8]):[#7]:[#6](:[#7]:1)-[#6](:[#6]:[#6]-[#16,#6](=[#8,#6])-[#7,#6,#8]):[#6](:[#16,#6,#7])-[#8]-[#6]-[#6]"
