,22,23
0,5.8e-05,0.000137
1,6,7
2,[#6]-[#6]1:[#6](:[#6](:[#7]:[#6](:[#7]:1)-[#7])-[#7])-[#6]#[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,"[#6]-[#16,#6,#8]-[#6,#7]:[#6]:[#6]:[#6]:[#6]1:[#6]:[#6](:[#7]:[#6](:[#7]:1)-[#7])-[#7]"
