,4ISH_1GE,4ISI_1GG,4JZD_1NJ,4JZE_1NK,4JZF_1NL,4JYV_1OJ,4JYU_1OK,4NA9_1T7,2EC9_24X,2BZ6_346,2ZZU_359,1WTG_3BP,4X8S_3Z7,4X8T_3Z8,4X8V_3Z9,4X8U_3ZB,1W7X_413,4YT6_4JY,4YT7_4K1,4ZXY_4T1,5L2Z_70C,5L2Y_70D,1W0Y_771,5TQE_7KQ,5TQG_7KS,2FLR_7NH,5U6J_82J,1YGC_905,2B7D_C1B,2C4F_GIL,1WUN_P5B,1WQV_PSM,1Z6J_PY3
1W0Y_771,0.7777777777777778,0.797979797979798,0.7473684210526316,0.7941176470588236,0.78125,0.8058252427184466,0.7731958762886598,0.8229166666666666,0.7708333333333334,0.7446808510638299,0.7314814814814814,0.735632183908046,0.8307692307692307,0.92,0.8125,0.9054054054054054,0.52,0.7525773195876289,0.7669902912621359,0.8613861386138614,0.8699186991869918,0.8688524590163934,0.0,0.8434782608695652,0.8333333333333334,0.8314606741573034,0.8037383177570093,0.78,0.7920792079207921,0.803921568627451,0.7419354838709677,0.7640449438202247,0.8157894736842105
5TQE_7KQ,0.8854961832061069,0.8387096774193549,0.8837209302325582,0.7768595041322314,0.8818897637795275,0.8346456692913385,0.7586206896551724,0.859504132231405,0.8828125,0.8650793650793651,0.8591549295774648,0.884297520661157,0.9479166666666666,0.8723404255319149,0.8120300751879699,0.9292929292929293,0.8943089430894309,0.8854961832061069,0.8740740740740741,0.5858585858585859,0.5739130434782609,0.5701754385964912,0.8434782608695652,0.0,0.5135135135135135,0.8782608695652174,0.5,0.8515625,0.8947368421052632,0.8947368421052632,0.873015873015873,0.9024390243902439,0.8652482269503546
5TQG_7KS,0.875,0.8560606060606061,0.8897058823529411,0.8432835820895522,0.8962962962962963,0.8432835820895522,0.8015873015873016,0.8846153846153846,0.8721804511278195,0.8372093023255813,0.8581081081081081,0.8818897637795275,0.9306930693069306,0.892156862745098,0.8043478260869565,0.9339622641509434,0.8650793650793651,0.8666666666666667,0.8561151079136691,0.7105263157894737,0.5258620689655172,0.5217391304347826,0.8333333333333334,0.5135135135135135,0.0,0.9032258064516129,0.6440677966101696,0.8421052631578947,0.9154929577464789,0.8676470588235294,0.8625954198473282,0.873015873015873,0.8639455782312925
2FLR_7NH,0.8529411764705882,0.8144329896907216,0.85,0.8446601941747574,0.8105263157894737,0.7731958762886598,0.85,0.8279569892473118,0.8367346938775511,0.8712871287128713,0.7909090909090909,0.7816091954022988,0.9090909090909091,0.8840579710144928,0.8879310344827587,0.8153846153846154,0.8369565217391304,0.8529411764705882,0.839622641509434,0.84375,0.875,0.8739495798319328,0.8314606741573034,0.8782608695652174,0.9032258064516129,0.0,0.8623853211009174,0.8431372549019608,0.6590909090909092,0.8200000000000001,0.7849462365591398,0.8222222222222222,0.8090909090909091
5U6J_82J,0.8629032258064516,0.8220338983050848,0.8512396694214877,0.856,0.7767857142857143,0.8373983739837398,0.8416666666666667,0.8728813559322034,0.8305084745762712,0.8305084745762712,0.8015267175572519,0.7850467289719626,0.9333333333333333,0.8777777777777778,0.7560975609756098,0.9021739130434783,0.8608695652173913,0.8629032258064516,0.8425196850393701,0.7727272727272727,0.6173913043478261,0.6140350877192983,0.8037383177570093,0.5,0.6440677966101696,0.8623853211009174,0.0,0.8455284552845528,0.864,0.8455284552845528,0.7876106194690266,0.8181818181818181,0.8345864661654135
1YGC_905,0.7837837837837838,0.8333333333333334,0.7798165137614679,0.829059829059829,0.8303571428571428,0.5876288659793815,0.6145833333333333,0.8130841121495327,0.8108108108108107,0.5652173913043479,0.7622950819672132,0.819047619047619,0.875,0.9325842696629214,0.8333333333333334,0.9204545454545454,0.7373737373737373,0.65,0.6310679611650485,0.8782608695652174,0.8582089552238806,0.8571428571428572,0.78,0.8515625,0.8421052631578947,0.8431372549019608,0.8455284552845528,0.0,0.7636363636363637,0.7289719626168225,0.8090909090909091,0.819047619047619,0.808
2B7D_C1B,0.7614678899082569,0.7211538461538461,0.7570093457943925,0.8389830508474576,0.8090909090909091,0.8189655172413793,0.8125,0.7669902912621359,0.7547169811320755,0.7547169811320755,0.6982758620689655,0.7346938775510203,0.9024390243902439,0.9204545454545454,0.8947368421052632,0.8554216867469879,0.75,0.7614678899082569,0.7631578947368421,0.8879310344827587,0.8992805755395683,0.8985507246376812,0.7920792079207921,0.8947368421052632,0.9154929577464789,0.6590909090909092,0.864,0.7636363636363637,0.0,0.7169811320754718,0.7281553398058253,0.7843137254901961,0.8267716535433071
2C4F_GIL,0.7614678899082569,0.7685185185185185,0.6831683168316831,0.7876106194690266,0.7281553398058253,0.7876106194690266,0.8018018018018018,0.7669902912621359,0.5957446808510638,0.693069306930693,0.7094017094017093,0.7722772277227723,0.8888888888888888,0.9444444444444444,0.8692307692307693,0.8823529411764706,0.7864077669902912,0.6764705882352942,0.6822429906542056,0.9067796610169492,0.8832116788321168,0.8823529411764706,0.803921568627451,0.8947368421052632,0.8676470588235294,0.8200000000000001,0.8455284552845528,0.7289719626168225,0.7169811320754718,0.0,0.787037037037037,0.7843137254901961,0.7786885245901639
1WUN_P5B,0.8181818181818181,0.7572815533980582,0.8148148148148149,0.8521739130434782,0.822429906542056,0.831858407079646,0.8256880733944953,0.8380952380952381,0.8130841121495327,0.8018867924528301,0.32183908045977017,0.2753623188405797,0.8961038961038961,0.9411764705882353,0.8818897637795275,0.9024390243902439,0.75,0.75,0.7522935779816513,0.9026548672566371,0.8787878787878788,0.8778625954198473,0.7419354838709677,0.873015873015873,0.8625954198473282,0.7849462365591398,0.7876106194690266,0.8090909090909091,0.7281553398058253,0.787037037037037,0.0,0.5487804878048781,0.7796610169491526
1WQV_PSM,0.8611111111111112,0.7525773195876289,0.801980198019802,0.8532110091743119,0.8333333333333334,0.8207547169811321,0.8365384615384616,0.8613861386138614,0.7878787878787878,0.8118811881188119,0.6504854368932038,0.5066666666666666,0.9166666666666666,0.9493670886075949,0.875,0.922077922077922,0.7444444444444445,0.8285714285714285,0.8272727272727273,0.926605504587156,0.8984375,0.8976377952755905,0.7640449438202247,0.9024390243902439,0.873015873015873,0.8222222222222222,0.8181818181818181,0.819047619047619,0.7843137254901961,0.7843137254901961,0.5487804878048781,0.0,0.7876106194690266
1Z6J_PY3,0.8160000000000001,0.7833333333333333,0.7413793103448276,0.7394957983193278,0.7586206896551724,0.7804878048780488,0.7933884297520661,0.8034188034188035,0.75,0.8306451612903226,0.7941176470588236,0.7876106194690266,0.9270833333333334,0.92,0.8148148148148149,0.9090909090909091,0.7894736842105263,0.7768595041322314,0.768,0.8264462809917356,0.8391608391608392,0.8380281690140845,0.8157894736842105,0.8652482269503546,0.8639455782312925,0.8090909090909091,0.8345864661654135,0.808,0.8267716535433071,0.7786885245901639,0.7796610169491526,0.7876106194690266,0.0
