,11,14
0,7e-06,4.7e-05
1,2,5
2,"[#6](:[#6](:[#6]1:[#6,#7]:[#6](:[#7]:[#6]:[#7,#6]:1)-[#8,#7])-[#6]1-[#6](-[#6](-[#6](-[#7]-1)-[#6]-[#8])-[#8])-[#8]):[#7]","[#6]1:[#6,#7](:[#6]2:[#6](:[#7]:1):[#6](=[#8]):[#7]:[#6]:[#7]:2)-[#6]-[#6]-[#6,#8]-[#6,#8]-[#6]-[#15](=[#8])(-[#8])-[#8]"
