,58,56,61,66,65,59,62
0,1e-05,1e-06,0.0,1e-06,5e-06,0.000318,6e-06
1,2,2,4,12,5,4,6
2,[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:1-[#7]):[#6](=[#8]):[#7]:[#7]:[#6]:2=[#8],[#6]-[#7]-[#6]1:[#7]:[#6]2:[#6](:[#7]:1):[#6]:[#6]1:[#6](:[#6]:2)-[#7]=[#6](-[#7]-[#6]-1)-[#7],[#6]-[#16]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6]:1:[#7]:[#6](:[#7]:[#6]:2=[#8])-[#7],[#6]1:[#7]:[#6]2:[#6](:[#7]:1):[#6]:[#6]1:[#6](:[#6]:2-[#6]-[#6]):[#7]:[#6]:[#7]:[#6]:1=[#8],[#6]-[#6]-[#7]-[#6]1:[#7]:[#6]2:[#6](:[#7]:1):[#6]:[#6]1:[#6](:[#6]:2):[#6](:[#7]:[#6]:[#7]:1)=[#8],[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6](=[#8]):[#7]:[#6](:[#7]:2)-[#7],[#6]-[#7]-[#6]1:[#7]:[#6]2:[#6](:[#7]:1):[#6]:[#6]1:[#6](:[#6]:2):[#6](:[#7]:[#6]:[#7]:1)=[#8]
