,1AJN_AAN,1AI4_DHY,1K7D_GRO,1AI7_IPH,1AI5_MNP,1AJP_OMD,1K5Q_PAC,1AJQ_SPA
1AJN_AAN,0.0,0.5625,0.8055555555555556,0.8333333333333334,0.375,0.6764705882352942,0.4814814814814815,0.6857142857142857
1AI4_DHY,0.5625,0.0,0.7941176470588236,0.7777777777777778,0.5714285714285714,0.4642857142857143,0.5,0.6666666666666667
1K7D_GRO,0.8055555555555556,0.7941176470588236,0.0,0.6956521739130435,0.7948717948717949,0.75,0.6666666666666667,0.7575757575757576
1AI7_IPH,0.8333333333333334,0.7777777777777778,0.6956521739130435,0.0,0.8181818181818181,0.72,0.6666666666666667,0.7777777777777778
1AI5_MNP,0.375,0.5714285714285714,0.7948717948717949,0.8181818181818181,0.0,0.6756756756756757,0.5,0.6842105263157895
1AJP_OMD,0.6764705882352942,0.4642857142857143,0.75,0.72,0.6756756756756757,0.0,0.5925925925925926,0.65625
1K5Q_PAC,0.4814814814814815,0.5,0.6666666666666667,0.6666666666666667,0.5,0.5925925925925926,0.0,0.5555555555555556
1AJQ_SPA,0.6857142857142857,0.6666666666666667,0.7575757575757576,0.7777777777777778,0.6842105263157895,0.65625,0.5555555555555556,0.0
