,2
0,0.000409
1,2
2,"[#6](:[#6]:[#6]:[#6]-,:[#6](-,:[#6]-,:[#6])-[#6](=[#8])-[#7]-[#6]:[#7]:[#6]:[#6]):[#6]:,-[#6]"
