,1VCJ_IBA,1B9V_RA2,1B9T_RAI,1INF_ST4
1VCJ_IBA,0.0,0.11764705882352944,0.368421052631579,0.6721311475409837
1B9V_RA2,0.11764705882352944,0.0,0.3207547169811321,0.6724137931034483
1B9T_RAI,0.368421052631579,0.3207547169811321,0.0,0.6785714285714286
1INF_ST4,0.6721311475409837,0.6724137931034483,0.6785714285714286,0.0
