,1E2P_CCV,1E2N_RCA,1OF1_SCT,1E2K_TMC
1E2P_CCV,0.0,0.5869565217391304,0.7777777777777778,0.8070175438596492
1E2N_RCA,0.5869565217391304,0.0,0.7580645161290323,0.803030303030303
1OF1_SCT,0.7777777777777778,0.7580645161290323,0.0,0.5454545454545454
1E2K_TMC,0.8070175438596492,0.803030303030303,0.5454545454545454,0.0
