,3IK3_0LI,3KFA_B91,1FPU_PRC,1IEP_STI,3OY3_XY3
3IK3_0LI,0.0,0.7542372881355932,0.7291666666666667,0.6020408163265306,0.34883720930232553
3KFA_B91,0.7542372881355932,0.0,0.7864077669902912,0.7931034482758621,0.7391304347826086
1FPU_PRC,0.7291666666666667,0.7864077669902912,0.0,0.3088235294117647,0.75
1IEP_STI,0.6020408163265306,0.7931034482758621,0.3088235294117647,0.0,0.6633663366336633
3OY3_XY3,0.34883720930232553,0.7391304347826086,0.75,0.6633663366336633,0.0
