,7
0,0.000754
1,4
2,"[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#7,#6]-[#6,#9])-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#7,#6]:[#6]:1"
