,2
0,4.6e-05
1,2
2,"[#6]1:[#6]:[#6](:[#6](:[#6])-[#6,#8]-[#6]2:[#6]:[#6]:[#6](:[#7]:[#6]:2)-[#7,#6]-[#6]-[#6,#7]):[#6](:[#7,#6]:[#6]:1):[#7]"
