,5ZXB_9KO,3EQR_T74,4EWH_T77
5ZXB_9KO,0.0,0.7739130434782608,0.9206349206349207
3EQR_T74,0.7739130434782608,0.0,0.8691588785046729
4EWH_T77,0.9206349206349207,0.8691588785046729,0.0
