,4
0,0.000954
1,3
2,"[#6](:[#6]:[#6]:[#6]-,:[#6]:,-[#7]:,-[#6]:,-[#6](:[#6]):[#6](:[#7]:[#6]:[#7])-,:[#7]-[#6]):[#6]:,-[#6]"
