,37,36,39
0,0.000172,0.000319,0.000167
1,8,8,4
2,[#6]-[#6]-[#7]1-[#6](-[#6](-[#6](-[#6](-[#7](-[#6]-1)-[#6]-[#6])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#8])-[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,"[#6]-[#6](-[#6])-[#6]-[#7](-[#6]-[#6](-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#8,#6])-[#8])-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7,#8]","[#6]-[#6](-[#6])-[#6,#8]-[#6](=[#8])-[#7]-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]-[#6]-[#6,#7]-[#7,#6]-[#6]-[#8,#6]-[#6,#8]-[#6](:[#6]:[#7,#6]):[#16,#6]:[#6]"
