,19
0,1.6e-05
1,10
2,"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#8])-[#6]1:[#7]:[#6](:[#6]:[#16]:1)-[#6]-[#16]-[#6]1:[#7,#6]:[#6](:[#6,#7]:[#6](:[#7]:1)-[#7])-[#7]"
