,34,37,31,39
0,2e-06,8.9e-05,1e-05,0.000931
1,3,5,3,9
2,"[#6]:,-[#6]:[#6](:[#6]:,-[#6])-[#6]1:[#6]2:[#6]:[#6](:[#6]:[#6]:[#6]:2:[#7](:[#6]:1-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]-[#6]-[#6](=[#8])-[#8])-[#6]1-[#6]-[#6]-1","[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6](:[#6]:[#6]:[#6]:2-[#35,#8])-[#16](=[#8])(=[#8])-[#7]-[#6]",[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]-[#7]1:[#6](:[#6](:[#6]2:[#6]:1:[#6](:[#6]:[#6]:[#6]:2)-[#6](=[#8])-[#8])-[#6])-[#6]-[#6]-[#6],"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-,:[#7]-,:[#6]:[#6](:[#6]:,-[#6]:[#6]:[#6])-[#6](=[#8])-[#8]"
