,3UUA_0CZ,2B1Z_17M,4MG7_27H,4MG9_27K,4MGD_27N,2B1V_458,2FAI_459,5DLR_5DJ,1ZKY_689,5T92_77W,5TLL_7EL,5FQT_7QN,5AK2_85Z,1XQC_AEJ,1XP1_AIH,1XP9_AIJ,1XPC_AIT,1XP6_AIU,1YIN_CM3,1YIM_CM4,5KR9_CUE,2Q70_DC8,1SJ0_E4D,1QKT_EST,6DF6_G8Y,1X7R_GEN,5FQP_GQD,5AAV_GW5,2IOG_IOG,2IOK_IOK,5FQS_J0W,2QE4_JJ3,5ACC_KE9,2AYR_L4G,2R6W_LLB,2R6Y_LLC,6SUO_LVH,5KCD_OB2,5KCE_OB3,5KCU_OB8,1UOM_PTI,5FQR_QHG,5FQV_VQI,2POG_WST,5AAU_XBR,1GWQ_ZTW
5TLL_7EL,0.8,0.85,0.8529411764705882,0.8367346938775511,0.775,0.85,0.85,0.7906976744186046,0.8524590163934427,0.8591549295774648,0.0,0.904109589041096,0.8648648648648649,0.8767123287671232,0.8918918918918919,0.8933333333333333,0.8933333333333333,0.8918918918918919,0.8831168831168831,0.875,0.8627450980392157,0.8666666666666667,0.8904109589041096,0.8688524590163934,0.8552631578947368,0.76,0.855072463768116,0.8947368421052632,0.896551724137931,0.8656716417910448,0.8591549295774648,0.8787878787878788,0.927710843373494,0.821917808219178,0.8666666666666667,0.8571428571428572,0.9294117647058824,0.819672131147541,0.7936507936507937,0.8428571428571429,0.8767123287671232,0.855072463768116,0.8767123287671232,0.8596491228070176,0.9,0.7777777777777778
5FQT_7QN,0.9032258064516129,0.8289473684210527,0.8048780487804879,0.8333333333333334,0.8870967741935484,0.8133333333333334,0.7972972972972973,0.8387096774193549,0.8,0.6533333333333333,0.904109589041096,0.0,0.7317073170731707,0.7710843373493976,0.8275862068965517,0.8023255813953488,0.8023255813953488,0.8275862068965517,0.8089887640449438,0.8117647058823529,0.8857142857142857,0.8421052631578947,0.8390804597701149,0.8289473684210527,0.8494623655913979,0.8918918918918919,0.453125,0.6612903225806452,0.84,0.8433734939759037,0.5571428571428572,0.8395061728395061,0.7471264367816092,0.8478260869565217,0.8202247191011236,0.8372093023255813,0.752808988764045,0.85,0.8571428571428572,0.8651685393258427,0.7407407407407407,0.2931034482758621,0.30000000000000004,0.8356164383561644,0.7236842105263157,0.8970588235294118
5AK2_85Z,0.875,0.8227848101265822,0.8539325842696629,0.8428571428571429,0.8939393939393939,0.8518518518518519,0.8375,0.8484848484848485,0.8536585365853658,0.6538461538461539,0.8648648648648649,0.7317073170731707,0.0,0.8842105263157894,0.8602150537634409,0.8617021276595744,0.8617021276595744,0.8602150537634409,0.865979381443299,0.8461538461538461,0.6557377049180328,0.8641975308641976,0.8829787234042553,0.8658536585365854,0.8556701030927836,0.8055555555555556,0.6962025316455696,0.7205882352941176,0.8235294117647058,0.8095238095238095,0.7037037037037037,0.8604651162790697,0.7582417582417582,0.8297872340425532,0.8404255319148937,0.8444444444444444,0.7634408602150538,0.8571428571428572,0.8636363636363636,0.8586956521739131,0.8723404255319149,0.6962025316455696,0.7073170731707317,0.8875,0.8901098901098901,0.8714285714285714
1XQC_AEJ,0.8888888888888888,0.7866666666666666,0.8764044943820225,0.9027777777777778,0.873015873015873,0.8333333333333334,0.8181818181818181,0.84375,0.8051948051948052,0.7439024390243902,0.8767123287671232,0.7710843373493976,0.8842105263157894,0.0,0.8045977011494253,0.7931034482758621,0.7931034482758621,0.8045977011494253,0.8260869565217391,0.7738095238095238,0.8571428571428572,0.8,0.788235294117647,0.7361111111111112,0.8152173913043479,0.8947368421052632,0.7051282051282051,0.8961038961038961,0.8316831683168316,0.8735632183908046,0.7738095238095238,0.8,0.8673469387755102,0.851063829787234,0.8494623655913979,0.8409090909090909,0.8585858585858586,0.825,0.8192771084337349,0.8426966292134832,0.4477611940298507,0.6351351351351351,0.7160493827160495,0.7916666666666666,0.7777777777777778,0.8507462686567164
1XP1_AIH,0.8709677419354839,0.8481012658227848,0.8505747126436781,0.803030303030303,0.873015873015873,0.7702702702702703,0.7183098591549295,0.8615384615384616,0.7397260273972603,0.8555555555555556,0.8918918918918919,0.8275862068965517,0.8602150537634409,0.8045977011494253,0.0,0.3846153846153846,0.3846153846153846,0.0,0.5205479452054795,0.43939393939393945,0.8571428571428572,0.6956521739130435,0.22413793103448276,0.8481012658227848,0.5657894736842105,0.8648648648648649,0.7831325301204819,0.8961038961038961,0.7311827956989247,0.8470588235294118,0.8426966292134832,0.736842105263158,0.84375,0.6987951807228916,0.6282051282051282,0.6578947368421053,0.846938775510204,0.7792207792207793,0.7901234567901234,0.7590361445783133,0.631578947368421,0.7976190476190477,0.8314606741573034,0.7391304347826086,0.8488372093023255,0.8153846153846154
1XP9_AIJ,0.873015873015873,0.85,0.8255813953488372,0.8235294117647058,0.8571428571428572,0.7733333333333333,0.7567567567567568,0.8636363636363636,0.76,0.8571428571428572,0.8933333333333333,0.8023255813953488,0.8617021276595744,0.7931034482758621,0.3846153846153846,0.0,0.0,0.3846153846153846,0.5844155844155844,0.5352112676056338,0.8428571428571429,0.6811594202898551,0.32258064516129037,0.8354430379746836,0.7058823529411764,0.8666666666666667,0.7857142857142857,0.9113924050632911,0.7604166666666666,0.8352941176470589,0.8181818181818181,0.7066666666666667,0.8910891089108911,0.7613636363636364,0.7294117647058824,0.7125,0.8823529411764706,0.7974683544303798,0.7926829268292683,0.7764705882352941,0.7037037037037037,0.7710843373493976,0.8068181818181819,0.7246376811594203,0.8505747126436781,0.8181818181818181
1XPC_AIT,0.873015873015873,0.85,0.8255813953488372,0.8235294117647058,0.8571428571428572,0.7733333333333333,0.7567567567567568,0.8636363636363636,0.76,0.8571428571428572,0.8933333333333333,0.8023255813953488,0.8617021276595744,0.7931034482758621,0.3846153846153846,0.0,0.0,0.3846153846153846,0.5844155844155844,0.5352112676056338,0.8428571428571429,0.6811594202898551,0.32258064516129037,0.8354430379746836,0.7058823529411764,0.8666666666666667,0.7857142857142857,0.9113924050632911,0.7604166666666666,0.8352941176470589,0.8181818181818181,0.7066666666666667,0.8910891089108911,0.7613636363636364,0.7294117647058824,0.7125,0.8823529411764706,0.7974683544303798,0.7926829268292683,0.7764705882352941,0.7037037037037037,0.7710843373493976,0.8068181818181819,0.7246376811594203,0.8505747126436781,0.8181818181818181
1XP6_AIU,0.8709677419354839,0.8481012658227848,0.8505747126436781,0.803030303030303,0.873015873015873,0.7702702702702703,0.7183098591549295,0.8615384615384616,0.7397260273972603,0.8555555555555556,0.8918918918918919,0.8275862068965517,0.8602150537634409,0.8045977011494253,0.0,0.3846153846153846,0.3846153846153846,0.0,0.5205479452054795,0.43939393939393945,0.8571428571428572,0.6956521739130435,0.22413793103448276,0.8481012658227848,0.5657894736842105,0.8648648648648649,0.7831325301204819,0.8961038961038961,0.7311827956989247,0.8470588235294118,0.8426966292134832,0.736842105263158,0.84375,0.6987951807228916,0.6282051282051282,0.6578947368421053,0.846938775510204,0.7792207792207793,0.7901234567901234,0.7590361445783133,0.631578947368421,0.7976190476190477,0.8314606741573034,0.7391304347826086,0.8488372093023255,0.8153846153846154
1YIN_CM3,0.8615384615384616,0.8690476190476191,0.8571428571428572,0.8142857142857143,0.8805970149253731,0.782051282051282,0.75,0.8695652173913043,0.736842105263158,0.8369565217391304,0.8831168831168831,0.8089887640449438,0.865979381443299,0.8260869565217391,0.5205479452054795,0.5844155844155844,0.5844155844155844,0.5205479452054795,0.0,0.3015873015873016,0.8947368421052632,0.7297297297297297,0.42647058823529416,0.8823529411764706,0.6385542168674698,0.8717948717948718,0.8333333333333334,0.9012345679012346,0.6881720430107527,0.8666666666666667,0.8617021276595744,0.75,0.8613861386138614,0.6506024096385542,0.6785714285714286,0.6582278481012658,0.8640776699029127,0.8333333333333334,0.8275862068965517,0.8241758241758241,0.5974025974025974,0.8333333333333334,0.8387096774193549,0.6811594202898551,0.8295454545454546,0.8904109589041096
1YIM_CM4,0.8688524590163934,0.8311688311688312,0.8352941176470589,0.8,0.8709677419354839,0.7671232876712328,0.7323943661971831,0.859375,0.7361111111111112,0.8539325842696629,0.875,0.8117647058823529,0.8461538461538461,0.7738095238095238,0.43939393939393945,0.5352112676056338,0.5352112676056338,0.43939393939393945,0.3015873015873016,0.0,0.855072463768116,0.6307692307692307,0.3548387096774194,0.8157894736842105,0.5974025974025974,0.863013698630137,0.7804878048780488,0.9090909090909091,0.6704545454545454,0.8588235294117648,0.8409090909090909,0.6805555555555556,0.8775510204081632,0.6103896103896104,0.6052631578947368,0.5774647887323944,0.8686868686868687,0.8227848101265822,0.8170731707317074,0.8,0.5285714285714286,0.7804878048780488,0.8160919540229885,0.7164179104477613,0.8192771084337349,0.8484848484848485
