,15,14,16
0,2.3e-05,5e-06,4.5e-05
1,6,2,2
2,"[#6]-[#6](-[#6])(-[#6])-[#6]1:[#6,#16]:[#6](:[#6,#7](:[#16,#6,#7]:1)-[#7,#6]-[#6,#7]-[#6,#7]-[#16,#6]-[#6,#16]-[#6,#7,#16])-[#7]-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","[#6]-[#6]-[#7]1:[#6]2:[#6](:[#7]:[#6]:1-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#17,#9]):[#6]:[#7]:[#6](:[#7]:2)-[#7,#8]-[#6]1:[#6](:[#6]:[#6]:[#6]:[#6]:1-[#9])-[#9]",[#6]-[#7]:[#6](:[#6](:[#6]=[#8])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#9])-[#6]1:[#6]:[#6]:[#7]:[#6]:[#7]:1
