,3V7T_0GX,2FPZ_270,2ZA5_2FF,4A6L_P43,2BM2_PM2
3V7T_0GX,0.0,0.9305555555555556,0.8163265306122449,0.7391304347826086,0.7777777777777778
2FPZ_270,0.9305555555555556,0.0,0.9076923076923077,0.890625,0.8596491228070176
2ZA5_2FF,0.8163265306122449,0.9076923076923077,0.0,0.5333333333333333,0.7160493827160495
4A6L_P43,0.7391304347826086,0.890625,0.5333333333333333,0.0,0.49275362318840576
2BM2_PM2,0.7777777777777778,0.8596491228070176,0.7160493827160495,0.49275362318840576,0.0
