,7
0,4.1e-05
1,4
2,"[#8,#6]-[#6](:[#6]:[#6,#7]):[#16,#6,#8]:[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1)-[#6]-[#7]"
