,62,54,60,53,61,39,59,63,64
0,5e-06,1e-06,7e-05,2e-05,0.00054,0.0,6e-05,0.000312,3e-05
1,3,2,5,2,8,2,2,9,3
2,"[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#7](=[#8])-[#8])-[#6,#7]1:[#6,#7]:[#6,#7](:[#6]:[#6]2:[#6]:1:[#7]:[#6]:[#6]:[#6]:2)-[#6]","[#6]-[#7]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]2:[#6](-[#6]-1):[#16]:[#6](:[#6]:2-[#6](=[#8])-[#8]-[#6])-[#7]-[#6](=[#8])-[#6]-[#6](:[#6]:[#6]):[#6,#16]:[#6]",[#6]-[#6]-[#8]-[#6](=[#8])-[#6]1:[#6](:[#7]:[#7]:[#6]:1-[#6])-[#6],[#6]-[#6](=[#6]-[#6]-[#6]1:[#6]2:[#6](:[#6]:[#6](:[#6]:1-[#8]-[#6])-[#8]):[#8]:[#6]1:[#6](:[#6]:2=[#8]):[#6](:[#6](:[#6](:[#6]:1)-[#8]-[#6](-[#6])(-[#6])-[#6])-[#6])-[#8])-[#6],[#6]-[#8]-[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:1-[#8]-[#6])-[#6]-[#7](-[#6]-[#6]-2)-[#6]=[#8],[#6]1:[#6]:[#6](:[#6]:[#7](:[#6]:1)-[#8])-[#6]-[#6](-[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#8]-[#6]1-[#6]-[#6]-1)-[#8]-[#6](-[#9])-[#9])-[#6]1:[#7]:[#6]:[#6](:[#16]:1)-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#6](-[#9])(-[#9])-[#9])-[#8],"[#6]-[#6](-[#6])-[#7]1-[#6](=[#8])-[#6]2-[#6]-[#6]=[#6]-[#6]-[#6]-2-[#6](=[#7]-1)-[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#6,#8])-[#8]-[#6]",[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#8]-[#6]1-[#6]-[#6]-[#6]-[#6]-1)-[#6],"[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#8]-[#6])-[#6](=[#8])-[#7,#6]-[#6]1:[#6](:[#6]:[#7]:[#6]:[#6]:1-[#17])-[#17]"
