,1Y2C_3DE,4WCU_3KQ,1Y2D_4DE,1Y2E_5DE,5LBO_6M5,1Y2K_7DE,3G58_988,6IM6_AH3,6IMI_AH6,6IMD_AH9,6IMO_AJL,6IMR_AJX,6IMT_AK0,6IND_AKO,6INK_AKU,1XOM_CIO,6F6U_CV8,6F8R_CZK,6F8U_CZQ,6F8T_CZT,6F8X_D08,6F8V_D0B,6F8W_D0E,3G4G_D71,1Y2B_DEE,6HWO_FFZ,5WQA_J20,3SL4_JN4,3SL6_JN8,6KK0_M36,2FM0_M98,2FM5_M99,6KJZ_MKU,2QYN_NPV,1XON_PIL,1XOQ_ROF,3G4K_ROL,1XOR_ZAR
1Y2C_3DE,0.0,0.84,0.607843137254902,0.5918367346938775,0.9120879120879121,0.6,0.9027777777777778,0.8333333333333334,0.8333333333333334,0.875,0.8513513513513513,0.858974358974359,0.8888888888888888,0.8734177215189873,0.84,0.8732394366197183,0.8552631578947368,0.9024390243902439,0.8607594936708861,0.8734177215189873,0.8734177215189873,0.8780487804878049,0.8765432098765432,0.863013698630137,0.6590909090909092,0.8433734939759037,0.8933333333333333,0.7972972972972973,0.8313253012048193,0.9032258064516129,0.9010989010989011,0.9010989010989011,0.9156626506024097,0.8732394366197183,0.8888888888888888,0.8933333333333333,0.9117647058823529,0.90625
4WCU_3KQ,0.84,0.0,0.8461538461538461,0.8717948717948718,0.8653846153846154,0.8705882352941177,0.8735632183908046,0.8289473684210527,0.8289473684210527,0.8450704225352113,0.8045977011494253,0.8,0.8404255319148937,0.8387096774193549,0.7954545454545454,0.8352941176470589,0.8222222222222222,0.8404255319148937,0.8645833333333334,0.8631578947368421,0.8260869565217391,0.8191489361702128,0.8172043010752688,0.8409090909090909,0.8695652173913043,0.7078651685393258,0.8913043478260869,0.8260869565217391,0.8282828282828283,0.8365384615384616,0.8446601941747574,0.8446601941747574,0.8645833333333334,0.875,0.6973684210526316,0.7560975609756098,0.8518518518518519,0.8289473684210527
1Y2D_4DE,0.607843137254902,0.8461538461538461,0.0,0.24390243902439024,0.8539325842696629,0.43137254901960786,0.8767123287671232,0.8225806451612903,0.8225806451612903,0.8620689655172413,0.8571428571428572,0.8641975308641976,0.8795180722891567,0.8641975308641976,0.8607594936708861,0.8309859154929577,0.8311688311688312,0.8227848101265822,0.8658536585365854,0.85,0.8051948051948052,0.7974683544303798,0.7948717948717949,0.868421052631579,0.6222222222222222,0.8488372093023255,0.8055555555555556,0.85,0.8505747126436781,0.8829787234042553,0.8924731182795699,0.8924731182795699,0.8795180722891567,0.8783783783783784,0.8309859154929577,0.8831168831168831,0.8676470588235294,0.859375
1Y2E_5DE,0.5918367346938775,0.8717948717948718,0.24390243902439024,0.0,0.9010989010989011,0.40816326530612246,0.8888888888888888,0.8548387096774194,0.8548387096774194,0.896551724137931,0.8831168831168831,0.8888888888888888,0.9036144578313253,0.8888888888888888,0.8860759493670887,0.8591549295774648,0.8571428571428572,0.8481012658227848,0.8625,0.875,0.8311688311688312,0.8227848101265822,0.8205128205128205,0.8648648648648649,0.6046511627906976,0.872093023255814,0.8947368421052632,0.8461538461538461,0.8470588235294118,0.9042553191489362,0.9021739130434783,0.9021739130434783,0.9036144578313253,0.8904109589041096,0.8591549295774648,0.88,0.8970588235294118,0.890625
5LBO_6M5,0.9120879120879121,0.8653846153846154,0.8539325842696629,0.9010989010989011,0.0,0.8979591836734694,0.9,0.8117647058823529,0.8117647058823529,0.8395061728395061,0.8282828282828283,0.8235294117647058,0.8365384615384616,0.8349514563106796,0.8316831683168316,0.7934782608695652,0.7835051546391752,0.7525773195876289,0.8365384615384616,0.8118811881188119,0.75,0.7448979591836735,0.7422680412371134,0.8932038834951457,0.9024390243902439,0.6344086021505376,0.86,0.8888888888888888,0.8256880733944953,0.8434782608695652,0.8706896551724138,0.8706896551724138,0.8796296296296297,0.9117647058823529,0.7666666666666666,0.8367346938775511,0.7647058823529411,0.7682926829268293
1Y2K_7DE,0.6,0.8705882352941177,0.43137254901960786,0.40816326530612246,0.8979591836734694,0.0,0.7058823529411764,0.855072463768116,0.855072463768116,0.8923076923076922,0.8395061728395061,0.8470588235294118,0.875,0.8604651162790697,0.8433734939759037,0.8734177215189873,0.8571428571428572,0.8620689655172413,0.8620689655172413,0.8735632183908046,0.8470588235294118,0.8390804597701149,0.8372093023255813,0.6666666666666667,0.6666666666666667,0.8461538461538461,0.8780487804878049,0.8470588235294118,0.8478260869565217,0.900990099009901,0.8877551020408163,0.8877551020408163,0.9,0.7285714285714286,0.8734177215189873,0.8780487804878049,0.9078947368421053,0.8873239436619719
3G58_988,0.9027777777777778,0.8735632183908046,0.8767123287671232,0.8888888888888888,0.9,0.7058823529411764,0.0,0.92,0.92,0.9428571428571428,0.9090909090909091,0.9130434782608696,0.925531914893617,0.9247311827956989,0.9111111111111111,0.9166666666666666,0.9230769230769231,0.9021739130434783,0.925531914893617,0.9361702127659575,0.8888888888888888,0.9042553191489362,0.9032258064516129,0.5970149253731343,0.9230769230769231,0.8854166666666666,0.8941176470588236,0.9130434782608696,0.92,0.9238095238095239,0.8787878787878788,0.8787878787878788,0.925531914893617,0.5081967213114754,0.8902439024390244,0.8941176470588236,0.9102564102564102,0.9054054054054054
6IM6_AH3,0.8333333333333334,0.8289473684210527,0.8225806451612903,0.8548387096774194,0.8117647058823529,0.855072463768116,0.92,0.0,0.0,0.19444444444444442,0.640625,0.6417910447761195,0.6666666666666667,0.6617647058823529,0.6307692307692307,0.8450704225352113,0.7972972972972973,0.8205128205128205,0.85,0.8181818181818181,0.8026315789473684,0.825,0.8076923076923077,0.9102564102564102,0.8703703703703703,0.8192771084337349,0.8513513513513513,0.8481012658227848,0.8620689655172413,0.8444444444444444,0.9032258064516129,0.9032258064516129,0.8354430379746836,0.9210526315789473,0.8285714285714285,0.8513513513513513,0.8307692307692307,0.819672131147541
6IMI_AH6,0.8333333333333334,0.8289473684210527,0.8225806451612903,0.8548387096774194,0.8117647058823529,0.855072463768116,0.92,0.0,0.0,0.19444444444444442,0.640625,0.6417910447761195,0.6666666666666667,0.6617647058823529,0.6307692307692307,0.8450704225352113,0.7972972972972973,0.8205128205128205,0.85,0.8181818181818181,0.8026315789473684,0.825,0.8076923076923077,0.9102564102564102,0.8703703703703703,0.8192771084337349,0.8513513513513513,0.8481012658227848,0.8620689655172413,0.8444444444444444,0.9032258064516129,0.9032258064516129,0.8354430379746836,0.9210526315789473,0.8285714285714285,0.8513513513513513,0.8307692307692307,0.819672131147541
6IMD_AH9,0.875,0.8450704225352113,0.8620689655172413,0.896551724137931,0.8395061728395061,0.8923076923076922,0.9428571428571428,0.19444444444444442,0.19444444444444442,0.0,0.6206896551724138,0.6229508196721312,0.6507936507936508,0.6451612903225806,0.6101694915254237,0.828125,0.7941176470588236,0.8356164383561644,0.8513513513513513,0.8169014084507042,0.8169014084507042,0.84,0.821917808219178,0.9315068493150684,0.92,0.8181818181818181,0.8529411764705882,0.8493150684931507,0.8780487804878049,0.8588235294117648,0.9325842696629214,0.9325842696629214,0.8356164383561644,0.9285714285714286,0.828125,0.9014084507042254,0.8103448275862069,0.7962962962962963
6IMO_AJL,0.8513513513513513,0.8045977011494253,0.8571428571428572,0.8831168831168831,0.8282828282828283,0.8395061728395061,0.9090909090909091,0.640625,0.640625,0.6206896551724138,0.0,0.2033898305084746,0.3538461538461538,0.34375,0.17543859649122806,0.8170731707317074,0.7764705882352941,0.797752808988764,0.8241758241758241,0.7954545454545454,0.7954545454545454,0.8021978021978022,0.7865168539325843,0.8636363636363636,0.8985507246376812,0.7717391304347826,0.8764044943820225,0.8351648351648352,0.8367346938775511,0.8557692307692308,0.875,0.875,0.8111111111111111,0.9101123595505618,0.8170731707317074,0.8764044943820225,0.7866666666666666,0.7916666666666666
6IMR_AJX,0.858974358974359,0.8,0.8641975308641976,0.8888888888888888,0.8235294117647058,0.8470588235294118,0.9130434782608696,0.6417910447761195,0.6417910447761195,0.6229508196721312,0.2033898305084746,0.0,0.29230769230769227,0.28125,0.10526315789473684,0.8255813953488372,0.7865168539325843,0.8064516129032258,0.8315789473684211,0.8043478260869565,0.8043478260869565,0.8105263157894737,0.7956989247311828,0.8695652173913043,0.904109589041096,0.78125,0.8817204301075269,0.8421052631578947,0.8431372549019608,0.8504672897196262,0.8796296296296297,0.8796296296296297,0.8315789473684211,0.9139784946236559,0.8255813953488372,0.8817204301075269,0.7974683544303798,0.8026315789473684
6IMT_AK0,0.8888888888888888,0.8404255319148937,0.8795180722891567,0.9036144578313253,0.8365384615384616,0.875,0.925531914893617,0.6666666666666667,0.6666666666666667,0.6507936507936508,0.3538461538461538,0.29230769230769227,0.0,0.180327868852459,0.21311475409836067,0.8275862068965517,0.7888888888888889,0.8085106382978724,0.8210526315789474,0.8064516129032258,0.8064516129032258,0.8125,0.7978723404255319,0.8947368421052632,0.92,0.8200000000000001,0.8829787234042553,0.8556701030927836,0.8446601941747574,0.8623853211009174,0.8807339449541285,0.8807339449541285,0.8333333333333334,0.9263157894736842,0.8275862068965517,0.8709677419354839,0.8,0.7894736842105263
6IND_AKO,0.8734177215189873,0.8387096774193549,0.8641975308641976,0.8888888888888888,0.8349514563106796,0.8604651162790697,0.9247311827956989,0.6617647058823529,0.6617647058823529,0.6451612903225806,0.34375,0.28125,0.180327868852459,0.0,0.19999999999999996,0.8255813953488372,0.7865168539325843,0.8064516129032258,0.8315789473684211,0.8043478260869565,0.8043478260869565,0.8105263157894737,0.7956989247311828,0.8936170212765957,0.904109589041096,0.8181818181818181,0.8817204301075269,0.8421052631578947,0.854368932038835,0.8611111111111112,0.9,0.9,0.8315789473684211,0.925531914893617,0.8255813953488372,0.8817204301075269,0.7974683544303798,0.8026315789473684
6INK_AKU,0.84,0.7954545454545454,0.8607594936708861,0.8860759493670887,0.8316831683168316,0.8433734939759037,0.9111111111111111,0.6307692307692307,0.6307692307692307,0.6101694915254237,0.17543859649122806,0.10526315789473684,0.21311475409836067,0.19999999999999996,0.0,0.8214285714285714,0.7816091954022988,0.8021978021978022,0.8279569892473118,0.8,0.8,0.8064516129032258,0.7912087912087912,0.8666666666666667,0.9014084507042254,0.7765957446808511,0.8791208791208791,0.8387096774193549,0.84,0.8584905660377359,0.8773584905660378,0.8773584905660378,0.8279569892473118,0.9120879120879121,0.8214285714285714,0.8791208791208791,0.7922077922077921,0.7972972972972973
1XOM_CIO,0.8732394366197183,0.8352941176470589,0.8309859154929577,0.8591549295774648,0.7934782608695652,0.8734177215189873,0.9166666666666666,0.8450704225352113,0.8450704225352113,0.828125,0.8170731707317074,0.8255813953488372,0.8275862068965517,0.8255813953488372,0.8214285714285714,0.0,0.6438356164383562,0.6923076923076923,0.725,0.6883116883116883,0.6533333333333333,0.6666666666666667,0.6623376623376623,0.9325842696629214,0.9076923076923077,0.8,0.8125,0.8901098901098901,0.8279569892473118,0.8367346938775511,0.8210526315789474,0.8210526315789474,0.8409090909090909,0.891566265060241,0.6060606060606061,0.8271604938271605,0.6129032258064516,0.8115942028985508
6F6U_CV8,0.8552631578947368,0.8222222222222222,0.8311688311688312,0.8571428571428572,0.7835051546391752,0.8571428571428572,0.9230769230769231,0.7972972972972973,0.7972972972972973,0.7941176470588236,0.7764705882352941,0.7865168539325843,0.7888888888888889,0.7865168539325843,0.7816091954022988,0.6438356164383562,0.0,0.6375,0.18333333333333335,0.3125,0.6153846153846154,0.41428571428571426,0.5714285714285714,0.9148936170212766,0.8857142857142857,0.8020833333333334,0.8539325842696629,0.875,0.8041237113402062,0.8365384615384616,0.8333333333333334,0.8333333333333334,0.8404255319148937,0.9120879120879121,0.6438356164383562,0.8275862068965517,0.6323529411764706,0.8133333333333334
