,19
0,0.000591
1,9
2,"[#6]-[#6](=[#8])-[#7]-[#6](-[#6](-[#6,#7])-[#7,#6,#8])-[#6](-[#8]-[#6]-[#6](=[#8])-[#8])-[#6]-[#6,#7](-[#6]-[#7,#6,#8])-[#8,#6]"
