,19,15,18
0,3e-06,1.7e-05,7e-06
1,5,2,4
2,[#6]-[#6]-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6](:[#6](:[#6](:[#6]:1-[#9])-[#9])-[#16](=[#8])(=[#8])-[#7])-[#9],"[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#16,#17])-[#6](=[#8])-[#6]-[#16]-[#6]1:[#7]:[#6]:[#6]:[#6]:[#7]:1","[#6]1:[#6](:[#6](:[#6]:[#6](:[#6]:1-[#16](=[#8])(=[#8])-[#7])-[#17])-[#16,#7]-[#6])-[#6](=[#8])-[#7]-[#6]-[#6]-[#8]"
