,80,68,74,56,64,55,49
0,0.000571,1e-05,0.000222,1.9e-05,0.0,4e-06,0.0
1,11,5,9,6,2,2,2
2,"[#6,#7]1:[#6,#7]:[#6]:[#6,#16]:[#6](:[#16,#6]:[#6]:[#7,#6]:[#6,#7]:1)-[#6](=[#7])-[#7]","[#6]1:[#6](:[#6]:[#6](:[#6](:[#6]:1-[#17,#6])-[#8]-[#6]-[#6]-[#7])-[#17,#6])-[#6](=[#8])-[#8,#7]",[#6]1(:[#6](:[#7]:[#6](:[#6]:[#7]:1)-[#7])-[#7])-[#6](=[#8])-[#7],"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]-[#7]-[#6](=[#8])-[#6]-[#7]-[#6](=[#8])-[#6](-[#6]-[#8])-[#7]-[#16](=[#8])(=[#8])-[#6]-[#6]-,:[#6]-,:[#6]","[#1]-[#7]=[#6](-[#7])-[#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]-[#6,#7]-[#6]",[#6]1:[#6]:[#6]2:[#6]:[#6]:[#6](:[#6]:[#6]:2:[#6](:[#6]:1)-[#7]-[#6]1:[#7]:[#6]:[#6]:[#6]:[#7]:1)-[#6](=[#7])-[#7],[#1]-[#7]=[#6](-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6](:[#6]:2)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]
