,2
0,5e-06
1,2
2,[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]-[#6](-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#8]-[#6]-[#8]-2)-[#6](=[#8])-[#8])-[#6](=[#8])-[#8]
