,4PTE_2WF,4PTG_2WG,3F7Z_34O,3DU8_553,5HLP_65A,5K5N_6QH,5KPK_6VK,4ACC_7YG,1Q3W_ATU,3GB2_G3B,6HK3_G8B,6HK4_G8E,1Q41_IXM,6Y9R_OH8,6Y9S_OHK,4AFJ_SJJ,1Q3D_STU,1Q5K_TMU,3I4B_Z48,3ZRK_ZRK,3ZRL_ZRL,3ZRM_ZRM
6HK3_G8B,0.8024691358024691,0.7529411764705882,0.8494623655913979,0.8651685393258427,0.7906976744186046,0.75,0.8936170212765957,0.5853658536585367,0.9139784946236559,0.9130434782608696,0.0,0.44594594594594594,0.9146341463414634,0.7676767676767677,0.8282828282828283,0.7831325301204819,0.8666666666666667,0.8023255813953488,0.8350515463917526,0.9156626506024097,0.9310344827586207,0.9111111111111111
6HK4_G8E,0.7532467532467533,0.7931034482758621,0.8958333333333334,0.8505747126436781,0.8924731182795699,0.8125,0.9042553191489362,0.4027777777777778,0.9247311827956989,0.9120879120879121,0.44594594594594594,0.0,0.926829268292683,0.79,0.7765957446808511,0.7951807228915663,0.8867924528301887,0.8539325842696629,0.8210526315789474,0.8875,0.9047619047619048,0.8850574712643678
1Q41_IXM,0.9230769230769231,0.9324324324324325,0.9473684210526316,0.8787878787878788,0.8153846153846154,0.926829268292683,0.8676470588235294,0.927710843373494,0.7666666666666666,0.9104477611940298,0.9146341463414634,0.926829268292683,0.0,0.9080459770114943,0.9012345679012346,0.927536231884058,0.8780487804878049,0.9142857142857143,0.8974358974358975,0.8545454545454545,0.9,0.873015873015873
6Y9R_OH8,0.788235294117647,0.7956989247311828,0.87,0.8736842105263158,0.865979381443299,0.79,0.865979381443299,0.8155339805825242,0.8617021276595744,0.8602150537634409,0.7676767676767677,0.79,0.9080459770114943,0.0,0.5301204819277108,0.7840909090909091,0.8738738738738738,0.8279569892473118,0.8217821782178218,0.8571428571428572,0.875,0.8571428571428572
6Y9S_OHK,0.7875,0.8089887640449438,0.8494623655913979,0.8901098901098901,0.8817204301075269,0.7894736842105263,0.8817204301075269,0.8282828282828283,0.9021739130434783,0.8636363636363636,0.8282828282828283,0.7765957446808511,0.9012345679012346,0.5301204819277108,0.0,0.7682926829268293,0.8666666666666667,0.8023255813953488,0.8229166666666666,0.875,0.8795180722891567,0.8604651162790697
4AFJ_SJJ,0.7761194029850746,0.7866666666666666,0.8205128205128205,0.868421052631579,0.858974358974359,0.5915492957746479,0.9146341463414634,0.7831325301204819,0.9382716049382716,0.8666666666666667,0.7831325301204819,0.7951807228915663,0.927536231884058,0.7840909090909091,0.7682926829268293,0.0,0.8695652173913043,0.6031746031746033,0.8333333333333334,0.828125,0.8529411764705882,0.8309859154929577
1Q3D_STU,0.9010989010989011,0.8526315789473684,0.9215686274509804,0.8936170212765957,0.8111111111111111,0.8867924528301887,0.8617021276595744,0.9181818181818182,0.8444444444444444,0.9270833333333334,0.8666666666666667,0.8867924528301887,0.8780487804878049,0.8738738738738738,0.8666666666666667,0.8695652173913043,0.0,0.8842105263157894,0.9158878504672897,0.8795180722891567,0.9090909090909091,0.9021739130434783
1Q5K_TMU,0.8333333333333334,0.7922077922077921,0.8674698795180723,0.8860759493670887,0.8333333333333334,0.7857142857142857,0.9166666666666666,0.8295454545454546,0.8421052631578947,0.9259259259259259,0.8023255813953488,0.8539325842696629,0.9142857142857143,0.8279569892473118,0.8023255813953488,0.6031746031746033,0.8842105263157894,0.0,0.8505747126436781,0.9305555555555556,0.904109589041096,0.8961038961038961
3I4B_Z48,0.825,0.8295454545454546,0.8817204301075269,0.8863636363636364,0.8651685393258427,0.8571428571428572,0.8901098901098901,0.7978723404255319,0.9111111111111111,0.8850574712643678,0.8350515463917526,0.8210526315789474,0.8974358974358975,0.8217821782178218,0.8229166666666666,0.8333333333333334,0.9158878504672897,0.8505747126436781,0.0,0.8701298701298701,0.875,0.8554216867469879
3ZRK_ZRK,0.8166666666666667,0.8732394366197183,0.8904109589041096,0.8461538461538461,0.8857142857142857,0.8734177215189873,0.9014084507042254,0.9024390243902439,0.8805970149253731,0.8253968253968254,0.9156626506024097,0.8875,0.8545454545454545,0.8571428571428572,0.875,0.828125,0.8795180722891567,0.9305555555555556,0.8701298701298701,0.0,0.6326530612244898,0.6666666666666667
3ZRL_ZRL,0.8253968253968254,0.8783783783783784,0.9230769230769231,0.8529411764705882,0.8904109589041096,0.9047619047619048,0.8904109589041096,0.8928571428571429,0.8857142857142857,0.8840579710144928,0.9310344827586207,0.9047619047619048,0.9,0.875,0.8795180722891567,0.8529411764705882,0.9090909090909091,0.904109589041096,0.875,0.6326530612244898,0.0,0.3695652173913043
3ZRM_ZRM,0.803030303030303,0.8717948717948718,0.9146341463414634,0.8472222222222222,0.8831168831168831,0.8850574712643678,0.8974358974358975,0.8863636363636364,0.8783783783783784,0.8450704225352113,0.9111111111111111,0.8850574712643678,0.873015873015873,0.8571428571428572,0.8604651162790697,0.8309859154929577,0.9021739130434783,0.8961038961038961,0.8554216867469879,0.6666666666666667,0.3695652173913043,0.0
