,37,34,39,24,25,26,27
0,0.000553,0.000595,0.000215,1e-05,1.4e-05,1e-06,1.9e-05
1,3,2,4,2,3,2,2
2,"[#6]-[#6]:[#6](:,-[#6](:,-[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#6]-,:[#6])-,:[#6])-,:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1):,-[#6]:,-[#7]","[#6]1:[#7]:[#7]:[#6](:[#8]:1)-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1):,-[#8]:,-[#6]","[#6](:[#6]:[#7]:[#6]):[#6]-[#6]:[#6]:[#6]1:[#6]:,-[#6]:,-[#6]:,-[#7]:,-[#6]:,-1=[#8]","[#6]1:[#6,#7]:[#6](:[#6,#7]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#7]:[#6](:[#6]:1)-[#7]-[#6](=[#8])-[#6]1-[#6]-[#6]-1","[#6]-[#7,#8]-[#6]-[#6]-[#7]-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#7]:[#6](:[#6](:[#7]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#7,#6]:[#6]:1)-[#7]","[#6]-[#6](-[#6])-[#8]-[#6]1:[#6]:[#6](:[#6]:[#7]:[#6]:1)-[#6](:[#6]:[#6]:[#6](:,-[#6]:,-[#7]:,-[#6]-[#6]):[#7]):[#6]","[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6](:[#7]:[#6]:[#8]:1)-[#6](=[#8])-[#7]-[#6]-[#6]:,-[#6]"
