,13,12
0,0.000406,1.2e-05
1,5,2
2,"[#6,#8]-[#6](-[#6,#7]-[#35,#6,#8,#16])-[#6]-[#7]-[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#6](-[#9])(-[#9])-[#9])-[#7,#6]","[#6]-[#6]1:[#6](:[#6]:[#6]:[#6](:[#6]:1-[#17])-[#6]#[#7])-[#7,#6]-[#6](-[#6,#8]-[#6])-[#6](-[#6])-[#8,#7]"
