,1Z95_198,5CJ6_51Y,5V8Q_97A,5VO4_9FG,2AX9_BHM,2AXA_FHM,4QL8_JAD,2HVC_LGD,3V49_PK0
1Z95_198,0.0,0.8,0.6212121212121212,0.8285714285714285,0.532258064516129,0.49230769230769234,0.8414634146341463,0.8169014084507042,0.7066666666666667
5CJ6_51Y,0.8,0.0,0.7971014492753623,0.8615384615384616,0.8783783783783784,0.8888888888888888,0.6615384615384615,0.9589041095890412,0.8133333333333334
5V8Q_97A,0.6212121212121212,0.7971014492753623,0.0,0.7903225806451613,0.7647058823529411,0.7866666666666666,0.7777777777777778,0.796875,0.5714285714285714
5VO4_9FG,0.8285714285714285,0.8615384615384616,0.7903225806451613,0.0,0.8970588235294118,0.8918918918918919,0.8208955223880597,0.9032258064516129,0.7538461538461538
2AX9_BHM,0.532258064516129,0.8783783783783784,0.7647058823529411,0.8970588235294118,0.0,0.31481481481481477,0.9135802469135803,0.8153846153846154,0.8
2AXA_FHM,0.49230769230769234,0.8888888888888888,0.7866666666666666,0.8918918918918919,0.31481481481481477,0.0,0.9080459770114943,0.8169014084507042,0.8170731707317074
4QL8_JAD,0.8414634146341463,0.6615384615384615,0.7777777777777778,0.8208955223880597,0.9135802469135803,0.9080459770114943,0.0,0.9615384615384616,0.825
2HVC_LGD,0.8169014084507042,0.9589041095890412,0.796875,0.9032258064516129,0.8153846153846154,0.8169014084507042,0.9615384615384616,0.0,0.7971014492753623
3V49_PK0,0.7066666666666667,0.8133333333333334,0.5714285714285714,0.7538461538461538,0.8,0.8170731707317074,0.825,0.7971014492753623,0.0
