,4JH0_1MD,4LKO_1WH,2OPH_277,4N8D_2KS,4N8E_2KV,3C43_315,3C45_317,3HAC_361,2HHA_3TP,2P8S_417,2QOE_448,2QTB_474,2QT9_524,2IIV_565,1RWQ_5AP,3D4L_605,3HAB_677,3NOX_6A5,5I7U_6AJ,5ISM_6DG,5KBY_6RL,1X70_715,5T4E_75L,5T4F_75M,5T4B_75N,2IIT_872,1N1M_A3M,3EIO_AJH,3KWF_B1Q,3CCB_B2Y,2OAG_DLI,2OLE_KR2,3SWW_KXB,3VJK_M51,4A5S_N7F,3F8S_PF2,2QJR_PZF,3G0G_RUM,2FJP_S14,3G0B_T22,2OGZ_U1N,3VJM_W61,3VJL_W94
2QOE_448,0.8131868131868132,0.8478260869565217,0.8414634146341463,0.9176470588235294,0.875,0.8181818181818181,0.85,0.8170731707317074,0.8409090909090909,0.7738095238095238,0.0,0.85,0.845360824742268,0.4545454545454546,0.8863636363636364,0.7721518987341772,0.813953488372093,0.8297872340425532,0.83,0.851063829787234,0.8494623655913979,0.5352112676056338,0.8807339449541285,0.8703703703703703,0.875,0.5277777777777778,0.8484848484848485,0.5714285714285714,0.8241758241758241,0.927536231884058,0.8260869565217391,0.5652173913043479,0.8617021276595744,0.8315789473684211,0.8888888888888888,0.8666666666666667,0.8181818181818181,0.8723404255319149,0.8315789473684211,0.8695652173913043,0.8518518518518519,0.8,0.8163265306122449
2QTB_474,0.8383838383838383,0.9029126213592233,0.6923076923076923,0.9,0.8602150537634409,0.7216494845360825,0.803921568627451,0.8817204301075269,0.7752808988764045,0.865979381443299,0.85,0.0,0.4342105263157895,0.8404255319148937,0.9285714285714286,0.8936170212765957,0.8762886597938144,0.8415841584158416,0.8518518518518519,0.883495145631068,0.8484848484848485,0.84375,0.8584070796460177,0.8584070796460177,0.853448275862069,0.8585858585858586,0.7611940298507462,0.8369565217391304,0.86,0.948051948051948,0.85,0.8351648351648352,0.8932038834951457,0.8653846153846154,0.8240740740740741,0.7325581395348837,0.84375,0.846938775510204,0.4871794871794872,0.8556701030927836,0.8764044943820225,0.8691588785046729,0.8504672897196262
2QT9_524,0.8210526315789474,0.9,0.6056338028169015,0.9090909090909091,0.8555555555555556,0.6555555555555556,0.8217821782178218,0.8777777777777778,0.7816091954022988,0.8617021276595744,0.845360824742268,0.4342105263157895,0.0,0.8351648351648352,0.9263157894736842,0.8522727272727273,0.8602150537634409,0.86,0.8476190476190476,0.8686868686868687,0.84375,0.8387096774193549,0.8440366972477065,0.8545454545454545,0.8392857142857143,0.8541666666666666,0.7692307692307692,0.8314606741573034,0.8556701030927836,0.9315068493150684,0.8085106382978724,0.8160919540229885,0.89,0.8383838383838383,0.819047619047619,0.8351648351648352,0.8260869565217391,0.8172043010752688,0.44594594594594594,0.8387096774193549,0.872093023255814,0.854368932038835,0.8235294117647058
2IIV_565,0.8275862068965517,0.8636363636363636,0.8441558441558441,0.9113924050632911,0.8518518518518519,0.7934782608695652,0.8404255319148937,0.8181818181818181,0.8292682926829268,0.8024691358024691,0.4545454545454546,0.8404255319148937,0.8351648351648352,0.0,0.9047619047619048,0.7702702702702703,0.8148148148148149,0.8571428571428572,0.8315789473684211,0.8409090909090909,0.7976190476190477,0.5588235294117647,0.8737864077669903,0.8514851485148515,0.8679245283018868,0.27586206896551724,0.8135593220338984,0.53125,0.8117647058823529,0.9206349206349207,0.8275862068965517,0.5238095238095238,0.8777777777777778,0.8333333333333334,0.8712871287128713,0.8433734939759037,0.8192771084337349,0.8636363636363636,0.8461538461538461,0.8192771084337349,0.8243243243243243,0.8260869565217391,0.8541666666666666
1RWQ_5AP,0.6933333333333334,0.647887323943662,0.9759036144578314,0.8918918918918919,0.8441558441558441,0.9191919191919192,0.8202247191011236,0.8846153846153846,0.891566265060241,0.9058823529411765,0.8863636363636364,0.9285714285714286,0.9263157894736842,0.9047619047619048,0.0,0.8701298701298701,0.8641975308641976,0.7012987012987013,0.8736842105263158,0.8863636363636364,0.8850574712643678,0.9069767441860466,0.9019607843137255,0.9019607843137255,0.9056603773584906,0.9090909090909091,0.9523809523809523,0.8888888888888888,0.872093023255814,0.8148148148148149,0.8863636363636364,0.8875,0.6142857142857143,0.925531914893617,0.9108910891089109,0.9662921348314607,0.8536585365853658,0.9090909090909091,0.925531914893617,0.8941176470588236,0.9078947368421053,0.8936170212765957,0.94
3D4L_605,0.8588235294117648,0.8823529411764706,0.8947368421052632,0.92,0.8717948717948718,0.8351648351648352,0.8695652173913043,0.8831168831168831,0.8481012658227848,0.891566265060241,0.7721518987341772,0.8936170212765957,0.8522727272727273,0.7702702702702703,0.8701298701298701,0.0,0.8765432098765432,0.875,0.8089887640449438,0.7875,0.8148148148148149,0.7432432432432432,0.9117647058823529,0.9326923076923077,0.9252336448598131,0.782051282051282,0.8793103448275862,0.7285714285714286,0.9090909090909091,0.8333333333333334,0.8024691358024691,0.6865671641791045,0.8837209302325582,0.9010989010989011,0.9207920792079208,0.9166666666666666,0.8375,0.8823529411764706,0.8235294117647058,0.8795180722891567,0.7384615384615385,0.9042553191489362,0.90625
3HAB_677,0.813953488372093,0.8235294117647058,0.9012345679012346,0.925,0.8795180722891567,0.7241379310344828,0.7752808988764045,0.375,0.7848101265822784,0.7066666666666667,0.813953488372093,0.8762886597938144,0.8602150537634409,0.8148148148148149,0.8641975308641976,0.8765432098765432,0.0,0.8695652173913043,0.8191489361702128,0.8,0.8390804597701149,0.8192771084337349,0.84,0.8627450980392157,0.8571428571428572,0.8372093023255813,0.90625,0.8395061728395061,0.8117647058823529,0.9375,0.5428571428571429,0.8375,0.8651685393258427,0.8829787234042553,0.8712871287128713,0.9090909090909091,0.6388888888888888,0.8764044943820225,0.8586956521739131,0.8604651162790697,0.8846153846153846,0.8387096774193549,0.8888888888888888
3NOX_6A5,0.6075949367088608,0.6329113924050633,0.8977272727272727,0.8941176470588236,0.8255813953488372,0.8446601941747574,0.8061224489795918,0.8620689655172413,0.8314606741573034,0.8947368421052632,0.8297872340425532,0.8415841584158416,0.86,0.8571428571428572,0.7012987012987013,0.875,0.8695652173913043,0.0,0.8666666666666667,0.8775510204081632,0.8645833333333334,0.8351648351648352,0.8301886792452831,0.8518518518518519,0.8256880733944953,0.8631578947368421,0.8695652173913043,0.8,0.8877551020408163,0.8656716417910448,0.8888888888888888,0.8255813953488372,0.6375,0.8350515463917526,0.8703703703703703,0.8817204301075269,0.8842105263157894,0.8865979381443299,0.8585858585858586,0.8602150537634409,0.8953488372093024,0.8514851485148515,0.8761904761904762
5I7U_6AJ,0.83,0.826530612244898,0.8817204301075269,0.9139784946236559,0.8131868131868132,0.8333333333333334,0.8301886792452831,0.8351648351648352,0.8673469387755102,0.8085106382978724,0.83,0.8518518518518519,0.8476190476190476,0.8315789473684211,0.8736842105263158,0.8089887640449438,0.8191489361702128,0.8666666666666667,0.0,0.7684210526315789,0.410958904109589,0.8350515463917526,0.6354166666666667,0.6210526315789473,0.6764705882352942,0.85,0.9102564102564102,0.8404255319148937,0.7916666666666666,0.922077922077922,0.8415841584158416,0.8387096774193549,0.8282828282828283,0.8571428571428572,0.6701030927835052,0.89,0.8229166666666666,0.5443037974683544,0.8571428571428572,0.5512820512820513,0.8275862068965517,0.8715596330275229,0.8532110091743119
5ISM_6DG,0.8260869565217391,0.8351648351648352,0.9204545454545454,0.9047619047619048,0.8620689655172413,0.83,0.8613861386138614,0.7721518987341772,0.8791208791208791,0.7439024390243902,0.851063829787234,0.883495145631068,0.8686868686868687,0.8409090909090909,0.8863636363636364,0.7875,0.8,0.8775510204081632,0.7684210526315789,0.0,0.797752808988764,0.8444444444444444,0.8703703703703703,0.8490566037735849,0.8440366972477065,0.8478260869565217,0.9444444444444444,0.8505747126436781,0.8241758241758241,0.9117647058823529,0.7865168539325843,0.8352941176470589,0.8617021276595744,0.84375,0.8461538461538461,0.8275862068965517,0.7764705882352941,0.8351648351648352,0.8787878787878788,0.8444444444444444,0.8518518518518519,0.8484848484848485,0.84
5KBY_6RL,0.8494623655913979,0.8333333333333334,0.8536585365853658,0.9036144578313253,0.8048780487804879,0.8041237113402062,0.8247422680412371,0.8571428571428572,0.8777777777777778,0.8409090909090909,0.8494623655913979,0.8484848484848485,0.84375,0.7976190476190477,0.8850574712643678,0.8148148148148149,0.8390804597701149,0.8645833333333334,0.410958904109589,0.797752808988764,0.0,0.8555555555555556,0.7127659574468085,0.6703296703296704,0.7244897959183674,0.8202247191011236,0.8970588235294118,0.8072289156626506,0.7674418604651163,0.9104477611940298,0.8369565217391304,0.8192771084337349,0.8351648351648352,0.865979381443299,0.6777777777777778,0.9021739130434783,0.8160919540229885,0.5616438356164384,0.865979381443299,0.22413793103448276,0.8205128205128205,0.892156862745098,0.8725490196078431
1X70_715,0.8314606741573034,0.8539325842696629,0.8481012658227848,0.9135802469135803,0.8823529411764706,0.8229166666666666,0.8673469387755102,0.8227848101265822,0.8333333333333334,0.5857142857142856,0.5352112676056338,0.84375,0.8387096774193549,0.5588235294117647,0.9069767441860466,0.7432432432432432,0.8192771084337349,0.8351648351648352,0.8350515463917526,0.8444444444444444,0.8555555555555556,0.0,0.8867924528301887,0.9074074074074074,0.9009009009009009,0.5428571428571429,0.819672131147541,0.42622950819672134,0.8295454545454546,0.90625,0.8444444444444444,0.515625,0.8681318681318682,0.8369565217391304,0.8846153846153846,0.8470588235294118,0.8372093023255813,0.8791208791208791,0.8369565217391304,0.8764044943820225,0.8289473684210527,0.7912087912087912,0.8085106382978724
5T4E_75L,0.8269230769230769,0.8235294117647058,0.91,0.8478260869565217,0.846938775510204,0.8608695652173913,0.8482142857142857,0.8556701030927836,0.8737864077669903,0.875,0.8807339449541285,0.8584070796460177,0.8440366972477065,0.8737864077669903,0.9019607843137255,0.9117647058823529,0.84,0.8301886792452831,0.6354166666666667,0.8703703703703703,0.7127659574468085,0.8867924528301887,0.0,0.5531914893617021,0.33333333333333337,0.8888888888888888,0.9156626506024097,0.8712871287128713,0.8584905660377359,0.9,0.8703703703703703,0.846938775510204,0.8252427184466019,0.8532110091743119,0.6464646464646464,0.9056603773584906,0.8761904761904762,0.6666666666666667,0.8738738738738738,0.6741573033707865,0.9081632653061225,0.8363636363636364,0.8495575221238938
5T4F_75M,0.8598130841121495,0.8461538461538461,0.91,0.9183673469387755,0.8350515463917526,0.8706896551724138,0.8272727272727273,0.8673469387755102,0.8737864077669903,0.8962264150943396,0.8703703703703703,0.8584070796460177,0.8545454545454545,0.8514851485148515,0.9019607843137255,0.9326923076923077,0.8627450980392157,0.8518518518518519,0.6210526315789473,0.8490566037735849,0.6703296703296704,0.9074074074074074,0.5531914893617021,0.0,0.3132530120481928,0.8679245283018868,0.9024390243902439,0.8932038834951457,0.8584905660377359,0.9397590361445783,0.8703703703703703,0.8811881188118812,0.8476190476190476,0.8839285714285714,0.6185567010309279,0.8952380952380953,0.8653846153846154,0.6206896551724138,0.8636363636363636,0.6590909090909092,0.8854166666666666,0.896551724137931,0.8793103448275862
5T4B_75N,0.8440366972477065,0.8301886792452831,0.9134615384615384,0.865979381443299,0.8529411764705882,0.875,0.853448275862069,0.8613861386138614,0.8785046728971962,0.8899082568807339,0.875,0.853448275862069,0.8392857142857143,0.8679245283018868,0.9056603773584906,0.9252336448598131,0.8571428571428572,0.8256880733944953,0.6764705882352942,0.8440366972477065,0.7244897959183674,0.9009009009009009,0.33333333333333337,0.3132530120481928,0.0,0.8828828828828829,0.9069767441860466,0.8867924528301887,0.8636363636363636,0.9047619047619048,0.8648648648648649,0.8529411764705882,0.8317757009345794,0.8378378378378378,0.62,0.8785046728971962,0.8703703703703703,0.6521739130434783,0.868421052631579,0.6881720430107527,0.9117647058823529,0.8214285714285714,0.8448275862068966
2IIT_872,0.8351648351648352,0.8695652173913043,0.8658536585365854,0.9156626506024097,0.8588235294117648,0.8144329896907216,0.8350515463917526,0.8271604938271605,0.8505747126436781,0.7976190476190477,0.5277777777777778,0.8585858585858586,0.8541666666666666,0.27586206896551724,0.9090909090909091,0.782051282051282,0.8372093023255813,0.8631578947368421,0.85,0.8478260869565217,0.8202247191011236,0.5428571428571429,0.8888888888888888,0.8679245283018868,0.8828828828828829,0.0,0.84375,0.5373134328358209,0.8333333333333334,0.9253731343283582,0.8478260869565217,0.5522388059701493,0.8829787234042553,0.8404255319148937,0.8653846153846154,0.8372093023255813,0.8409090909090909,0.8695652173913043,0.8645833333333334,0.8409090909090909,0.8481012658227848,0.7956989247311828,0.8247422680412371
1N1M_A3M,0.8985507246376812,0.927536231884058,0.6875,0.9655172413793104,0.8833333333333333,0.8028169014084507,0.8783783783783784,0.9516129032258065,0.6274509803921569,0.9242424242424242,0.8484848484848485,0.7611940298507462,0.7692307692307692,0.8135593220338984,0.9523809523809523,0.8793103448275862,0.90625,0.8695652173913043,0.9102564102564102,0.9444444444444444,0.8970588235294118,0.819672131147541,0.9156626506024097,0.9024390243902439,0.9069767441860466,0.84375,0.0,0.7857142857142857,0.8970588235294118,0.975609756097561,0.9142857142857143,0.8035714285714286,0.9285714285714286,0.8873239436619719,0.926829268292683,0.8709677419354839,0.9090909090909091,0.9117647058823529,0.7846153846153846,0.8923076923076922,0.8490566037735849,0.9066666666666666,0.9090909090909091
3EIO_AJH,0.8372093023255813,0.8604651162790697,0.8552631578947368,0.8947368421052632,0.8625,0.8021978021978022,0.8494623655913979,0.8441558441558441,0.7948717948717949,0.7974683544303798,0.5714285714285714,0.8369565217391304,0.8314606741573034,0.53125,0.8888888888888888,0.7285714285714286,0.8395061728395061,0.8,0.8404255319148937,0.8505747126436781,0.8072289156626506,0.42622950819672134,0.8712871287128713,0.8932038834951457,0.8867924528301887,0.5373134328358209,0.7857142857142857,0.0,0.8488372093023255,0.8813559322033898,0.8372093023255813,0.375,0.8620689655172413,0.8426966292134832,0.88,0.8674698795180723,0.8292682926829268,0.8604651162790697,0.8426966292134832,0.8292682926829268,0.8028169014084507,0.8222222222222222,0.8387096774193549
3KWF_B1Q,0.8369565217391304,0.8461538461538461,0.8941176470588236,0.9166666666666666,0.8048780487804879,0.8514851485148515,0.8712871287128713,0.8148148148148149,0.9021739130434783,0.8,0.8241758241758241,0.86,0.8556701030927836,0.8117647058823529,0.872093023255814,0.9090909090909091,0.8117647058823529,0.8877551020408163,0.7916666666666666,0.8241758241758241,0.7674418604651163,0.8295454545454546,0.8584905660377359,0.8584905660377359,0.8636363636363636,0.8333333333333334,0.8970588235294118,0.8488372093023255,0.0,0.9420289855072463,0.8241758241758241,0.8333333333333334,0.8478260869565217,0.8541666666666666,0.8446601941747574,0.8777777777777778,0.788235294117647,0.8461538461538461,0.865979381443299,0.788235294117647,0.9047619047619048,0.8585858585858586,0.8725490196078431
3CCB_B2Y,0.8615384615384616,0.8571428571428572,0.9833333333333333,0.7916666666666666,0.8596491228070176,0.9358974358974359,0.92,0.9322033898305084,0.9206349206349207,0.9384615384615385,0.927536231884058,0.948051948051948,0.9315068493150684,0.9206349206349207,0.8148148148148149,0.8333333333333334,0.9375,0.8656716417910448,0.922077922077922,0.9117647058823529,0.9104477611940298,0.90625,0.9,0.9397590361445783,0.9047619047619048,0.9253731343283582,0.975609756097561,0.8813559322033898,0.9420289855072463,0.0,0.8787878787878788,0.8392857142857143,0.859375,0.9154929577464789,0.8831168831168831,0.9538461538461538,0.9230769230769231,0.8571428571428572,0.9305555555555556,0.8524590163934427,0.8867924528301887,0.9189189189189189,0.9210526315789473
2OAG_DLI,0.851063829787234,0.8602150537634409,0.8953488372093024,0.9176470588235294,0.875,0.7282608695652174,0.8020833333333334,0.6891891891891893,0.7857142857142857,0.7590361445783133,0.8260869565217391,0.85,0.8085106382978724,0.8275862068965517,0.8863636363636364,0.8024691358024691,0.5428571428571429,0.8888888888888888,0.8415841584158416,0.7865168539325843,0.8369565217391304,0.8444444444444444,0.8703703703703703,0.8703703703703703,0.8648648648648649,0.8478260869565217,0.9142857142857143,0.8372093023255813,0.8241758241758241,0.8787878787878788,0.0,0.8214285714285714,0.8854166666666666,0.8673469387755102,0.8571428571428572,0.8791208791208791,0.3492063492063492,0.8351648351648352,0.8064516129032258,0.8314606741573034,0.8795180722891567,0.8712871287128713,0.8737864077669903
2OLE_KR2,0.8352941176470589,0.8588235294117648,0.868421052631579,0.863013698630137,0.8311688311688312,0.8131868131868132,0.8478260869565217,0.8421052631578947,0.8076923076923077,0.810126582278481,0.5652173913043479,0.8351648351648352,0.8160919540229885,0.5238095238095238,0.8875,0.6865671641791045,0.8375,0.8255813953488372,0.8387096774193549,0.8352941176470589,0.8192771084337349,0.515625,0.846938775510204,0.8811881188118812,0.8529411764705882,0.5522388059701493,0.8035714285714286,0.375,0.8333333333333334,0.8392857142857143,0.8214285714285714,0.0,0.8604651162790697,0.8275862068965517,0.8556701030927836,0.8658536585365854,0.8271604938271605,0.8313253012048193,0.8409090909090909,0.8125,0.8169014084507042,0.8202247191011236,0.8369565217391304
3SWW_KXB,0.49295774647887325,0.25,0.9438202247191011,0.8765432098765432,0.8192771084337349,0.8952380952380953,0.8,0.8837209302325582,0.8777777777777778,0.8913043478260869,0.8617021276595744,0.8932038834951457,0.89,0.8777777777777778,0.6142857142857143,0.8837209302325582,0.8651685393258427,0.6375,0.8282828282828283,0.8617021276595744,0.8351648351648352,0.8681318681318682,0.8252427184466019,0.8476190476190476,0.8317757009345794,0.8829787234042553,0.9285714285714286,0.8620689655172413,0.8478260869565217,0.859375,0.8854166666666666,0.8604651162790697,0.0,0.8775510204081632,0.8666666666666667,0.925531914893617,0.8555555555555556,0.8709677419354839,0.9,0.8295454545454546,0.9047619047619048,0.8811881188118812,0.9047619047619048
3VJK_M51,0.8315789473684211,0.8645833333333334,0.8863636363636364,0.8953488372093024,0.8791208791208791,0.8461538461538461,0.8867924528301887,0.8888888888888888,0.8586956521739131,0.8351648351648352,0.8315789473684211,0.8653846153846154,0.8383838383838383,0.8333333333333334,0.925531914893617,0.9010989010989011,0.8829787234042553,0.8350515463917526,0.8571428571428572,0.84375,0.865979381443299,0.8369565217391304,0.8532110091743119,0.8839285714285714,0.8378378378378378,0.8404255319148937,0.8873239436619719,0.8426966292134832,0.8541666666666666,0.9154929577464789,0.8673469387755102,0.8275862068965517,0.8775510204081632,0.0,0.8611111111111112,0.5616438356164384,0.8617021276595744,0.8645833333333334,0.86,0.8494623655913979,0.8705882352941177,0.41891891891891897,0.3472222222222222
4A5S_N7F,0.8571428571428572,0.8761904761904762,0.9191919191919192,0.8817204301075269,0.8315789473684211,0.868421052631579,0.8454545454545455,0.8762886597938144,0.8823529411764706,0.883495145631068,0.8888888888888888,0.8240740740740741,0.819047619047619,0.8712871287128713,0.9108910891089109,0.9207920792079208,0.8712871287128713,0.8703703703703703,0.6701030927835052,0.8461538461538461,0.6777777777777778,0.8846153846153846,0.6464646464646464,0.6185567010309279,0.62,0.8653846153846154,0.926829268292683,0.88,0.8446601941747574,0.8831168831168831,0.8571428571428572,0.8556701030927836,0.8666666666666667,0.8611111111111112,0.0,0.8712871287128713,0.8737864077669903,0.5952380952380952,0.8611111111111112,0.6352941176470588,0.90625,0.8440366972477065,0.8363636363636364
