CC(C)c1c2c(c(nc(n2)SCCN)NCc3ccc(cc3)c4ccccn4)n[nH]1  6GVA_FCQ
C[C@H]([C@@H]([C@@H](C#Cc1c(ccc2c1/C(=C/c3c(cc[nH]3)OC)/C(=O)N2)F)O)N)O  1R78_FMD
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)NCCOC  2W05_FRT
Cc1c(n2ccccc2n1)c3ccnc(n3)NC(=O)C  1OIQ_HDU
Cc1c(n2ccccc2n1)c3ccnc(n3)Nc4ccc(cc4)OC[C@H](CN(C)C)O  1OIR_HDY
c1[nH]c2c(n1)nc(nc2I)N  6Q4E_HH5
c1cc(cc(c1)c2c3c([nH]cn3)nc(n2)N)CC(=O)O  6Q4G_HJK
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)C(=O)N4CC[C@@H](C4)N(C)C)F  2W17_I19
CC(C)c1cnn2c1nc(cc2NCc3ccccc3)NC[C@H]4CCNC[C@@H]4O  5JQ5_I74
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)N4CCN(CC4)C(=O)CO  2VV9_IM9
c1ccc2c(c1)C(=O)/C(=C/3c4cc(ccc4NC3=O)S(=O)(=O)O)/N2  1E9H_INR
C1CCC(CC1)COc2c3c([nH]c(n3)C(F)(F)F)nc(n2)N  4CFN_JYM
c1ccc(cc1)C(=O)Nc2c[nH]nc2c3[nH]c4ccccc4n3  2W1H_L0F
COc1ccc(c(c1C(=O)c2cnc(nc2N)NC3CCN(CC3)S(=O)(=O)C)F)F  2FVD_LIA
CNS(=O)(=O)c1ccc(cc1)NC=C/2c3ccccc3NC2=O  1KE5_LS1
CNS(=O)(=O)Cc1ccc(cc1)NN=C2c3c(ccc4c3scn4)NC2=O  1KE6_LS2
c1cc2c(cc1c3cnco3)C(=CNc4ccc5c(c4)CS(=O)(=O)C5)C(=O)N2  1KE7_LS3
c1ccc2c(c1)/C(=C/Nc3ccc(cc3)S(=O)(=O)Nc4nccs4)/C(=O)N2  1KE8_LS4
c1ccc2c(c1)/C(=C/Nc3ccc(cc3)S(=O)(=O)NC(=N)N)/C(=O)N2  1KE9_LS5
c1ccc2c(c1)cn[nH]2  2VTA_LZ1
c1cc2c(cccc2S(=O)(=O)N)c(c1)O  2VTH_LZ2
c1ccc2c(c1)c(n[nH]2)C(=O)Nc3ccc(cc3)S(=O)(=O)N  2VTI_LZ3
c1cc(ccc1Nc2cncc(n2)Cl)S(=O)(=O)N  2VTJ_LZ4
c1ccc(cc1)NC(=O)c2cc[nH]n2  2VTL_LZ5
CC(=O)Nc1c[nH]nc1C(=O)Nc2ccc(cc2)F  2VTN_LZ7
c1ccc(cc1)C(=O)Nc2c[nH]nc2C(=O)Nc3ccc(cc3)F  2VTO_LZ8
