,26,33
0,1.5e-05,0.000943
1,2,16
2,"[#6](:[#7]:[#6]1:[#6,#7]:[#6](=[#16]):[#7]:[#6](:[#7,#6]:1)-[#7]):[#7]","[#7]-,:[#6]1:[#6](-,:[#7]-,:[#6]):[#7]:[#6](:[#7]:[#6]:1=[#8])-[#7]"
