,20,22,21,17
0,0.00039,5.2e-05,7e-05,4e-06
1,5,2,2,2
2,"[#6](-,:[#6]-,:[#6](-,:[#6](:[#6]:[#7]):,-[#6]:,-[#6]:,-[#6])-[#7]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-,:[#6]","[#6]-[#6]=[#6]-[#6](-[#6]-[#6]1:[#6](-[#6](-[#6,#7]-[#6]-[#6])-[#7,#6]):[#6]:[#6]:[#6](:[#7]:1)=[#8])-[#6]",[#6]-[#7]-[#6]-[#6]-[#6]12-[#6]=[#6]-[#6](-[#6]-[#6]-1-[#8]-[#6]1:[#6]-2:[#6](:[#6]:[#6]:[#6]:1-[#8]-[#6])-[#6])-[#8],[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6]-[#6](-[#6]-2=[#8])=[#6]-[#6]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
