,4
0,2.4e-05
1,3
2,"[#6,#16]1:[#7,#6]:[#6](:[#7,#6]:[#7,#6]:1-[#6]1-[#6](-[#6](-[#6](-[#8]-1)-[#6]-[#8]-[#15](=[#8])(-[#8,#6])-[#8])-[#8])-[#8])-[#6](=[#8])-[#7]"
