,1PVN_MZP,1ME8_RVP,1LRT_TAD
1PVN_MZP,0.0,0.5423728813559322,0.654320987654321
1ME8_RVP,0.5423728813559322,0.0,0.5921052631578947
1LRT_TAD,0.654320987654321,0.5921052631578947,0.0
