,4OAR_2S0,3G8O_30X,2OVH_AS0,3HQ5_GKK,1SR7_MOF,1SQN_NDR,1A28_STR,1ZUC_T98,3KBA_WOW
4OAR_2S0,0.0,0.8586956521739131,0.4625,0.9019607843137255,0.7830188679245282,0.75,0.7590361445783133,0.9375,0.8823529411764706
3G8O_30X,0.8586956521739131,0.0,0.9072164948453608,0.6986301369863014,0.9230769230769231,0.926829268292683,0.9113924050632911,0.8666666666666667,0.7721518987341772
2OVH_AS0,0.4625,0.9072164948453608,0.0,0.9134615384615384,0.8073394495412844,0.7529411764705882,0.7906976744186046,0.9157894736842105,0.8942307692307693
3HQ5_GKK,0.9019607843137255,0.6986301369863014,0.9134615384615384,0.0,0.908256880733945,0.8953488372093024,0.9186046511627907,0.8641975308641976,0.4242424242424242
1SR7_MOF,0.7830188679245282,0.9230769230769231,0.8073394495412844,0.908256880733945,0.0,0.8333333333333334,0.8043478260869565,0.9313725490196079,0.9
1SQN_NDR,0.75,0.926829268292683,0.7529411764705882,0.8953488372093024,0.8333333333333334,0.0,0.676923076923077,0.9240506329113924,0.8850574712643678
1A28_STR,0.7590361445783133,0.9113924050632911,0.7906976744186046,0.9186046511627907,0.8043478260869565,0.676923076923077,0.0,0.9358974358974359,0.9204545454545454
1ZUC_T98,0.9375,0.8666666666666667,0.9157894736842105,0.8641975308641976,0.9313725490196079,0.9240506329113924,0.9358974358974359,0.0,0.8809523809523809
3KBA_WOW,0.8823529411764706,0.7721518987341772,0.8942307692307693,0.4242424242424242,0.9,0.8850574712643678,0.9204545454545454,0.8809523809523809,0.0
