,56,49,46,48,51,57,53,54,42
0,3.7e-05,0.000582,1.4e-05,8e-06,4.8e-05,0.000636,0.000324,0.000284,0.000652
1,2,2,2,2,3,2,6,2,3
2,[#6]1:[#6](:[#6]:[#6](:[#6](:[#6]:1-[#35])-[#8])-[#35])-[#35],"[#6,#8]-[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#7,#6](=[#8])-[#8,#6])-[#7](=[#8])-[#8]",[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#6])-[#8])-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#17])-[#17],[#6](:[#6](:[#6]:[#6](:[#6]-[#17])-[#17])-[#17])-[#8]-[#6]-[#6](=[#8])-[#8],"[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#9])-[#9])-[#6](=[#8])-[#8,#7])-[#8]","[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#8]-[#6]-[#6]-[#6]-[#6](-,:[#6])-,:[#6]","[#6]1:[#6](:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6]1:[#6](:[#6]:[#6]:[#6]:[#7,#6]:1)-[#6](=[#8])-[#8]",[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:1):[#6]:[#6]:[#6]:[#6]:2-[#16](=[#8])(=[#8])-[#8],"[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#6]1:[#6]:[#6](=[#8]):[#6]2:[#6](:[#8]:1):[#6]:[#6](:[#6]:[#6]:2-[#8])-[#17,#8])-[#8])-[#8]"
